param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
793,,,,,,,0.555,0.,0.555,,,,,,,,,,,,
797,,,,,,,,,,0.153,0.,0.008,0.151,0.004,0.005,,,,,,
806,,,,0.272,0.,0.272,,,,,,,,,,,,,,,
811,,,,,,,0.576,0.007,0.568,,,,,,,,,,,,
825,,,,,,,,,,,,,,,,,,,0.014,0.,0.014
829,,,,,,,0.602,0.007,0.594,,,,,,,,,,,,
837,,,,0.287,0.,0.287,,,,,,,,,,,,,,,
847,,,,,,,0.698,0.,0.698,,,,,,,,,,,,
864,,,,,,,,,,,,,,,,,,,0.016,0.,0.016
865,,,,,,,0.642,0.,0.642,,,,,,,,,,,,
868,,,,0.302,0.,0.301,,,,,,,,,,,,,,,
873,,,,,,,0.844,0.011,0.832,,,,,,,,,,,,
883,,,,,,,0.682,0.,0.682,,,,,,,,,,,,
898,,,,0.321,0.,0.321,,,,,,,,,,,,,,,
901,,,,,,,0.791,0.,0.791,,,,,,,,,,,,
903,,,,,,,,,,,,,,,,,,,0.017,0.,0.017
911,,,,,,,,,,0.157,0.004,0.006,0.156,0.003,0.006,,,,,,
914,,,,0.525,0.,0.524,,,,,,,,,,,,,,,
929,,,,0.352,0.003,0.348,,,,,,,,,,,,,,,
943,,,,,,,,,,,,,,,,,,,0.019,0.,0.019
960,,,,0.378,0.,0.378,,,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,0.021,0.,0.021
991,,,,0.396,0.,0.396,0.841,0.,0.841,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,,0.022,0.,0.022
1022,,,,0.416,0.,0.416,,,,,,,,,,,,,,,
1025,,,,,,,,,,0.149,0.004,0.006,0.173,0.004,0.031,,,,,,
1053,,,,0.443,0.,0.443,,,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,,,,,0.047,0.,0.047
1081,,,,,,,1.073,0.,1.073,,,,,,,,,,,,
1084,,,,0.474,0.,0.474,,,,,,,,,,,,,,,
1099,,,,,,,,,,,,,,,,,,,0.029,0.,0.029
1115,,,,0.517,0.003,0.51,,,,,,,,,,,,,,,
1138,,,,,,,,,,0.151,0.003,0.008,0.151,0.004,0.007,,,,0.028,0.,0.028
1146,,,,0.53,0.003,0.526,,,,,,,,,,,,,,,
1164,,,,,,,1.531,0.019,1.511,,,,,,,,,,,,
