param-n,pattern-regression-linear-real,pattern-regression-linear-sys,pattern-regression-linear-user
418,0.009,0.,0.009
419,0.008,0.,0.008
420,0.009,0.,0.009
421,0.008,0.,0.008
422,0.008,0.,0.008
423,0.008,0.,0.008
424,0.008,0.,0.008
425,0.008,0.,0.008
426,0.008,0.,0.008
427,0.008,0.,0.008
428,0.01,0.,0.01
429,0.008,0.,0.008
430,0.009,0.,0.009
431,0.009,0.,0.009
432,0.011,0.,0.011
433,0.009,0.,0.009
434,0.008,0.,0.008
435,0.008,0.,0.008
436,0.008,0.,0.008
437,0.009,0.,0.009
438,0.008,0.,0.008
439,0.009,0.,0.009
440,0.009,0.,0.009
441,0.01,0.,0.01
442,0.008,0.,0.008
443,0.008,0.,0.008
444,0.009,0.,0.009
445,0.01,0.,0.01
446,0.009,0.,0.009
447,0.008,0.,0.008
448,0.009,0.,0.009
449,0.009,0.,0.009
450,0.009,0.,0.009
451,0.008,0.,0.008
452,0.008,0.,0.008
453,0.009,0.,0.009
454,0.009,0.,0.009
455,0.009,0.,0.009
456,0.008,0.,0.008
457,0.009,0.,0.009
458,0.008,0.,0.008
459,0.008,0.,0.008
460,0.009,0.,0.009
461,0.01,0.,0.01
462,0.01,0.,0.01
463,0.009,0.,0.009
464,0.008,0.,0.008
465,0.008,0.,0.008
466,0.009,0.,0.009
467,0.009,0.,0.009
468,0.011,0.,0.011
469,0.009,0.,0.009
470,0.009,0.,0.009
471,0.009,0.,0.009
472,0.011,0.,0.011
473,0.008,0.,0.008
474,0.009,0.,0.009
475,0.009,0.,0.009
476,0.012,0.,0.012
477,0.008,0.,0.008
478,0.009,0.,0.009
479,0.008,0.,0.008
480,0.01,0.,0.01
481,0.009,0.,0.009
482,0.009,0.,0.009
483,0.01,0.,0.01
484,0.012,0.,0.012
485,0.01,0.,0.01
486,0.009,0.,0.009
487,0.01,0.,0.01
488,0.01,0.,0.01
489,0.01,0.,0.01
490,0.009,0.,0.009
491,0.012,0.,0.012
492,0.01,0.,0.01
493,0.011,0.,0.011
494,0.009,0.,0.009
495,0.01,0.,0.01
496,0.01,0.,0.01
497,0.011,0.,0.011
498,0.011,0.,0.011
499,0.011,0.,0.011
500,0.01,0.,0.01
600,0.012,0.,0.012
800,0.016,0.,0.016
1000,0.019,0.,0.019
1200,0.023,0.,0.023
1400,0.042,0.,0.042
1600,0.034,0.,0.034
1800,0.052,0.,0.052
2000,0.044,0.,0.044
2200,0.052,0.,0.052
2400,0.147,0.,0.147
2600,0.083,0.,0.083
2800,0.062,0.,0.062
3000,0.068,0.,0.068
3200,0.092,0.003,0.088
3400,0.099,0.,0.099
3600,0.088,0.,0.088
3800,0.087,0.,0.087
4000,0.115,0.,0.115
4200,0.135,0.,0.135
4400,0.214,0.,0.214
4600,0.121,0.,0.121
4800,0.126,0.,0.126
5000,0.128,0.,0.128
5200,0.245,0.,0.245
5400,0.139,0.003,0.135
5600,0.141,0.003,0.137
5800,0.154,0.,0.154
6000,0.13,0.,0.13
6200,0.137,0.,0.137
6400,0.168,0.,0.168
6600,0.155,0.,0.155
6800,0.166,0.,0.166
7000,0.167,0.,0.167
7200,0.178,0.,0.178
7400,0.164,0.,0.164
7600,0.176,0.,0.176
7800,0.184,0.,0.184
8000,0.193,0.,0.193
8200,0.205,0.,0.205
8400,0.212,0.,0.212
8600,0.215,0.,0.215
8800,0.238,0.,0.238
9000,0.254,0.004,0.25
9200,0.251,0.,0.251
9400,0.261,0.,0.261
9600,0.271,0.,0.271
9800,0.281,0.,0.281
10000,0.268,0.,0.268
10200,0.288,0.,0.288
10400,0.289,0.,0.289
10600,0.326,0.,0.326
10800,0.333,0.,0.333
11000,0.332,0.,0.332
11200,0.364,0.,0.364
11400,0.344,0.,0.344
11600,0.345,0.,0.345
11800,0.357,0.,0.357
12000,0.352,0.,0.352
12200,0.359,0.,0.359
12400,0.365,0.,0.365
12600,0.377,0.,0.377
12800,0.396,0.,0.396
13000,0.386,0.,0.386
13200,0.415,0.,0.415
13400,0.416,0.,0.416
13600,0.433,0.,0.433
13800,0.411,0.,0.411
14000,0.416,0.,0.416
14200,0.413,0.,0.413
14400,0.413,0.,0.413
14600,0.383,0.,0.383
14800,0.43,0.,0.43
15000,0.401,0.,0.401
15200,0.395,0.,0.394
15400,0.427,0.,0.427
15600,0.431,0.,0.431
15800,0.441,0.,0.441
16000,0.457,0.,0.457
16200,0.465,0.,0.465
16400,0.472,0.,0.472
16600,0.467,0.,0.467
16800,0.511,0.,0.511
17000,0.501,0.,0.501
17200,0.538,0.,0.538
17400,0.528,0.,0.528
17600,0.573,0.,0.573
17800,0.6,0.,0.6
18000,0.618,0.,0.618
18200,0.596,0.,0.596
18400,0.649,0.,0.649
18600,0.688,0.,0.688
18800,0.645,0.,0.645
19000,0.7,0.,0.7
19200,0.696,0.,0.696
19400,0.671,0.,0.671
19600,0.651,0.,0.651
19800,0.658,0.,0.658
20000,0.642,0.,0.642
