param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
15,0.011,0.,0.011,0.006,0.,0.006,0.003,0.,0.003,0.002,0.,0.002,0.007,0.,0.007,0.,0.,0.,0.003,0.,0.003,0.,0.,0.
16,0.012,0.,0.012,0.007,0.,0.007,0.003,0.,0.003,0.002,0.,0.002,0.008,0.,0.008,0.,0.,0.,0.004,0.,0.004,0.,0.,0.
17,0.013,0.,0.013,0.007,0.,0.007,0.003,0.,0.003,0.002,0.,0.002,0.009,0.,0.009,0.,0.,0.,0.004,0.,0.004,0.,0.,0.
18,0.024,0.,0.024,0.008,0.,0.008,0.013,0.,0.013,0.003,0.,0.003,0.009,0.,0.009,0.,0.,0.,0.004,0.,0.004,0.,0.,0.
19,0.015,0.,0.015,0.008,0.,0.008,0.004,0.,0.004,0.003,0.,0.003,0.01,0.,0.01,0.,0.,0.,0.005,0.,0.005,0.,0.,0.
20,0.017,0.,0.017,0.009,0.,0.009,0.004,0.,0.004,0.003,0.,0.003,0.011,0.,0.011,0.,0.,0.,0.005,0.,0.005,0.,0.,0.
21,0.018,0.,0.018,0.01,0.,0.01,0.005,0.,0.005,0.003,0.,0.003,0.012,0.,0.012,0.,0.,0.,0.005,0.,0.005,0.,0.,0.
22,0.03,0.,0.03,0.021,0.,0.021,0.016,0.,0.016,0.004,0.,0.004,0.013,0.,0.013,0.,0.,0.,0.016,0.,0.016,0.,0.,0.
23,0.021,0.,0.021,0.011,0.,0.011,0.006,0.,0.006,0.004,0.,0.004,0.014,0.,0.014,0.,0.,0.,0.006,0.,0.006,0.,0.,0.
24,0.022,0.,0.022,0.012,0.,0.012,0.006,0.,0.006,0.004,0.,0.004,0.015,0.,0.015,0.,0.,0.,0.007,0.,0.007,0.,0.,0.
25,0.025,0.,0.025,0.013,0.,0.013,0.007,0.,0.007,0.005,0.,0.005,0.016,0.,0.016,0.,0.,0.,0.007,0.,0.007,0.,0.,0.
26,0.027,0.,0.027,0.014,0.,0.014,0.007,0.,0.007,0.005,0.,0.005,0.018,0.,0.018,0.,0.,0.,0.008,0.,0.008,0.,0.,0.
27,0.027,0.,0.027,0.026,0.,0.026,0.008,0.,0.008,0.005,0.,0.005,0.018,0.,0.018,0.,0.,0.,0.02,0.,0.02,0.,0.,0.
28,0.046,0.,0.046,0.016,0.,0.016,0.009,0.,0.009,0.006,0.,0.006,0.036,0.,0.036,0.,0.,0.,0.009,0.,0.009,0.,0.,0.
29,0.031,0.,0.031,0.017,0.,0.017,0.01,0.,0.01,0.006,0.,0.006,0.021,0.,0.021,0.,0.,0.,0.009,0.,0.009,0.,0.,0.
30,0.125,0.,0.125,0.018,0.,0.018,0.101,0.,0.101,0.007,0.,0.007,0.022,0.,0.022,0.,0.,0.,0.01,0.,0.01,0.,0.,0.
31,0.035,0.,0.035,0.02,0.001,0.019,0.011,0.,0.011,0.007,0.,0.007,0.023,0.,0.023,0.,0.,0.,0.012,0.001,0.011,0.,0.,0.
32,0.039,0.,0.039,0.02,0.,0.02,0.014,0.,0.014,0.008,0.,0.008,0.024,0.,0.024,0.,0.,0.,0.011,0.,0.011,0.,0.,0.
33,0.04,0.,0.04,0.02,0.,0.02,0.012,0.,0.012,0.008,0.,0.008,0.026,0.,0.026,0.,0.,0.,0.011,0.,0.011,0.,0.,0.
34,0.061,0.,0.061,0.038,0.,0.038,0.013,0.,0.013,0.009,0.,0.009,0.047,0.,0.047,0.,0.,0.,0.028,0.,0.028,0.,0.,0.
35,0.043,0.,0.043,0.024,0.,0.024,0.013,0.,0.013,0.01,0.,0.01,0.029,0.,0.029,0.,0.,0.,0.013,0.,0.013,0.,0.,0.
36,0.047,0.,0.047,0.114,0.,0.114,0.014,0.,0.014,0.099,0.,0.099,0.032,0.,0.032,0.,0.,0.,0.013,0.,0.013,0.,0.,0.
37,0.049,0.,0.049,0.026,0.,0.026,0.014,0.,0.014,0.011,0.,0.011,0.033,0.,0.033,0.,0.,0.,0.014,0.,0.014,0.,0.,0.
38,0.049,0.,0.049,0.027,0.,0.027,0.014,0.,0.014,0.011,0.,0.011,0.033,0.,0.033,0.,0.,0.,0.014,0.,0.014,0.,0.,0.
39,0.054,0.,0.054,0.03,0.,0.03,0.015,0.,0.015,0.012,0.,0.012,0.037,0.,0.037,0.,0.,0.,0.016,0.,0.016,0.,0.,0.
40,0.066,0.,0.066,0.03,0.,0.03,0.028,0.,0.028,0.012,0.,0.012,0.036,0.,0.036,0.,0.,0.,0.016,0.,0.016,0.,0.,0.
41,0.057,0.,0.057,0.051,0.,0.051,0.017,0.,0.017,0.013,0.,0.013,0.038,0.,0.038,0.,0.,0.,0.036,0.,0.036,0.,0.,0.
42,0.06,0.,0.06,0.033,0.,0.033,0.017,0.,0.017,0.014,0.,0.014,0.041,0.,0.041,0.,0.,0.,0.018,0.,0.018,0.,0.,0.
43,0.079,0.,0.079,0.035,0.,0.035,0.02,0.,0.02,0.014,0.,0.014,0.057,0.,0.057,0.,0.,0.,0.019,0.,0.019,0.,0.,0.
44,0.156,0.,0.156,0.035,0.,0.035,0.021,0.,0.021,0.015,0.,0.015,0.134,0.,0.134,0.,0.,0.,0.019,0.,0.019,0.,0.,0.
45,0.069,0.,0.069,0.036,0.,0.036,0.022,0.,0.022,0.015,0.,0.015,0.046,0.,0.046,0.,0.,0.,0.02,0.,0.02,0.,0.,0.
46,0.093,0.,0.093,0.039,0.001,0.038,0.023,0.,0.023,0.017,0.001,0.015,0.048,0.,0.048,0.02,0.,0.02,0.021,0.,0.021,0.,0.,0.
47,0.075,0.003,0.072,0.039,0.,0.039,0.026,0.003,0.022,0.016,0.,0.016,0.048,0.,0.048,0.,0.,0.,0.022,0.,0.022,0.,0.,0.
48,0.075,0.,0.075,0.053,0.,0.053,0.022,0.,0.022,0.017,0.,0.017,0.051,0.,0.051,0.,0.,0.,0.035,0.,0.035,0.,0.,0.
49,0.078,0.,0.078,0.042,0.,0.042,0.023,0.,0.023,0.017,0.,0.017,0.052,0.,0.052,0.002,0.,0.002,0.024,0.,0.024,0.,0.,0.
50,0.079,0.,0.079,0.044,0.,0.044,0.024,0.,0.024,0.018,0.,0.018,0.054,0.,0.054,0.,0.,0.,0.024,0.,0.024,0.,0.,0.
51,0.094,0.,0.094,0.046,0.,0.046,0.025,0.,0.025,0.018,0.,0.018,0.068,0.,0.068,0.,0.,0.,0.026,0.,0.026,0.,0.,0.
52,0.087,0.,0.087,0.065,0.,0.065,0.026,0.,0.026,0.021,0.,0.021,0.059,0.,0.059,0.,0.,0.,0.042,0.,0.042,0.,0.,0.
53,0.11,0.,0.11,0.141,0.,0.141,0.03,0.,0.03,0.112,0.,0.112,0.078,0.,0.078,0.,0.,0.,0.027,0.,0.027,0.,0.,0.
54,0.188,0.,0.188,0.052,0.,0.052,0.032,0.,0.032,0.023,0.,0.023,0.154,0.,0.154,0.,0.,0.,0.028,0.,0.028,0.,0.,0.
55,0.119,0.,0.119,0.055,0.,0.055,0.052,0.,0.052,0.024,0.,0.024,0.065,0.,0.065,0.,0.,0.,0.03,0.,0.03,0.,0.,0.
56,0.102,0.,0.102,0.076,0.,0.076,0.032,0.,0.032,0.024,0.,0.024,0.068,0.,0.068,0.,0.,0.,0.05,0.,0.05,0.,0.,0.
57,0.104,0.,0.104,0.059,0.,0.059,0.034,0.,0.034,0.024,0.,0.024,0.068,0.,0.068,0.,0.,0.,0.033,0.,0.033,0.,0.,0.
58,0.105,0.,0.105,0.058,0.,0.058,0.031,0.,0.031,0.024,0.,0.024,0.072,0.,0.072,0.,0.,0.,0.032,0.,0.032,0.,0.,0.
59,0.109,0.,0.109,0.061,0.,0.061,0.033,0.,0.033,0.026,0.,0.026,0.074,0.,0.074,0.,0.,0.,0.033,0.,0.033,0.,0.,0.
60,0.113,0.,0.113,0.074,0.,0.074,0.036,0.,0.036,0.038,0.,0.038,0.075,0.,0.075,0.,0.,0.,0.034,0.,0.034,0.,0.,0.
61,0.116,0.,0.116,0.065,0.,0.065,0.036,0.,0.036,0.028,0.,0.028,0.079,0.,0.079,0.,0.,0.,0.035,0.,0.035,0.,0.,0.
62,0.117,0.,0.117,0.084,0.,0.084,0.036,0.,0.036,0.046,0.,0.046,0.079,0.,0.079,0.,0.,0.,0.037,0.,0.037,0.,0.,0.
63,0.122,0.,0.122,0.16,0.,0.16,0.039,0.,0.038,0.121,0.,0.121,0.081,0.,0.081,0.,0.,0.,0.038,0.,0.038,0.,0.,0.
64,0.129,0.,0.129,0.074,0.,0.074,0.039,0.,0.039,0.034,0.,0.034,0.088,0.,0.088,0.,0.,0.,0.038,0.,0.038,0.,0.,0.
65,0.138,0.,0.138,0.093,0.,0.093,0.039,0.,0.039,0.032,0.,0.032,0.097,0.,0.097,0.,0.,0.,0.059,0.,0.059,0.,0.,0.
66,0.138,0.,0.138,0.077,0.,0.077,0.044,0.,0.044,0.032,0.,0.032,0.093,0.,0.093,0.,0.,0.,0.043,0.,0.043,0.,0.,0.
67,0.139,0.,0.139,0.075,0.,0.075,0.044,0.,0.044,0.031,0.,0.031,0.093,0.,0.093,0.,0.,0.,0.042,0.,0.042,0.,0.,0.
68,0.144,0.,0.144,0.078,0.,0.078,0.046,0.,0.046,0.031,0.,0.031,0.097,0.,0.097,0.,0.,0.,0.045,0.,0.045,0.,0.,0.
69,0.147,0.,0.147,0.081,0.,0.081,0.046,0.,0.046,0.034,0.,0.034,0.099,0.,0.099,0.,0.,0.,0.045,0.,0.045,0.,0.,0.
70,0.149,0.,0.149,0.083,0.,0.083,0.047,0.,0.047,0.035,0.,0.035,0.1,0.,0.1,0.,0.,0.,0.046,0.,0.046,0.,0.,0.
71,0.154,0.,0.154,0.085,0.002,0.083,0.049,0.,0.049,0.034,0.,0.034,0.103,0.,0.103,0.,0.,0.,0.049,0.002,0.047,0.,0.,0.
72,0.16,0.,0.16,0.092,0.,0.092,0.05,0.,0.05,0.038,0.,0.038,0.107,0.,0.107,0.,0.,0.,0.051,0.,0.051,0.,0.,0.
73,0.165,0.,0.165,0.092,0.,0.092,0.053,0.,0.053,0.038,0.,0.038,0.11,0.,0.11,0.,0.,0.,0.051,0.,0.051,0.,0.,0.
74,0.168,0.,0.168,0.093,0.,0.093,0.053,0.,0.053,0.037,0.,0.037,0.112,0.,0.112,0.,0.,0.,0.053,0.,0.053,0.,0.,0.
75,0.179,0.,0.179,0.1,0.,0.099,0.052,0.,0.052,0.043,0.,0.043,0.124,0.,0.124,0.,0.,0.,0.054,0.,0.054,0.,0.,0.
76,0.181,0.,0.181,0.097,0.,0.097,0.056,0.,0.056,0.04,0.,0.04,0.123,0.,0.123,0.,0.,0.,0.055,0.,0.055,0.,0.,0.
77,0.183,0.,0.183,0.098,0.,0.098,0.057,0.,0.057,0.04,0.,0.04,0.123,0.,0.123,0.,0.,0.,0.055,0.,0.055,0.,0.,0.
78,0.182,0.,0.182,0.099,0.,0.099,0.057,0.,0.057,0.039,0.,0.039,0.123,0.,0.123,0.,0.,0.,0.057,0.,0.057,0.,0.,0.
79,0.188,0.,0.188,0.105,0.,0.105,0.06,0.,0.06,0.045,0.,0.045,0.125,0.,0.125,0.,0.,0.,0.058,0.,0.058,0.001,0.,0.001
80,0.199,0.,0.199,0.105,0.,0.105,0.061,0.,0.061,0.044,0.,0.044,0.136,0.,0.136,0.,0.,0.,0.059,0.,0.059,0.,0.,0.
81,0.205,0.,0.205,0.107,0.,0.107,0.07,0.,0.07,0.045,0.,0.045,0.133,0.,0.133,0.,0.,0.,0.06,0.,0.06,0.001,0.,0.001
82,0.224,0.,0.224,0.108,0.,0.108,0.077,0.,0.077,0.046,0.,0.046,0.145,0.,0.145,0.001,0.,0.001,0.06,0.,0.06,0.,0.,0.
83,0.218,0.,0.218,0.112,0.,0.112,0.073,0.,0.073,0.046,0.,0.046,0.143,0.,0.143,0.001,0.,0.001,0.064,0.,0.064,0.001,0.,0.001
