param-n,abstract-regression-cubic-real,abstract-regression-cubic-sys,abstract-regression-cubic-user,close-abstract-regression-cubic-real,close-abstract-regression-cubic-sys,close-abstract-regression-cubic-user,fast-rewrite-regression-cubic-real,fast-rewrite-regression-cubic-sys,fast-rewrite-regression-cubic-user,pose-build-and-refine-regression-cubic-real,pose-build-and-refine-regression-cubic-sys,pose-build-and-refine-regression-cubic-user,refine-regression-quadratic-regression-linear-real,refine-regression-quadratic-regression-linear-sys,refine-regression-quadratic-regression-linear-user
79,0.033,0.,0.033,0.011,0.,0.011,0.021,0.,0.021,0.021,0.,0.021,0.,0.,0.
80,0.034,0.,0.034,0.011,0.,0.011,0.021,0.,0.021,0.021,0.,0.021,0.001,0.,0.001
81,0.034,0.,0.034,0.011,0.,0.011,0.021,0.,0.021,0.021,0.,0.021,0.001,0.,0.001
82,0.037,0.,0.037,0.012,0.,0.012,0.024,0.,0.024,0.024,0.,0.024,0.,0.,0.
83,0.036,0.,0.036,0.012,0.,0.012,0.022,0.,0.022,0.022,0.,0.022,0.001,0.,0.001
84,0.06,0.,0.06,0.012,0.,0.012,0.046,0.,0.046,0.046,0.,0.046,0.001,0.,0.001
85,0.037,0.,0.036,0.012,0.,0.012,0.023,0.,0.023,0.023,0.,0.023,0.001,0.,0.001
86,0.042,0.,0.042,0.013,0.,0.013,0.028,0.,0.028,0.028,0.,0.027,0.,0.,0.
87,0.038,0.,0.038,0.013,0.,0.013,0.024,0.,0.024,0.024,0.,0.024,0.001,0.,0.001
88,0.04,0.,0.039,0.014,0.,0.014,0.025,0.,0.025,0.025,0.,0.025,0.001,0.,0.001
89,0.04,0.,0.04,0.014,0.,0.014,0.025,0.,0.025,0.025,0.,0.025,0.001,0.,0.001
90,0.044,0.,0.044,0.014,0.,0.014,0.028,0.,0.028,0.028,0.,0.028,0.,0.,0.
91,0.042,0.,0.042,0.015,0.,0.015,0.025,0.,0.025,0.025,0.,0.025,0.001,0.,0.001
92,0.056,0.,0.056,0.015,0.,0.015,0.04,0.,0.04,0.04,0.,0.04,0.001,0.,0.001
93,0.043,0.,0.043,0.015,0.,0.015,0.027,0.,0.027,0.027,0.,0.027,0.001,0.,0.001
94,0.047,0.,0.047,0.016,0.,0.016,0.03,0.,0.03,0.03,0.,0.03,0.001,0.,0.001
95,0.045,0.,0.045,0.016,0.,0.016,0.028,0.,0.028,0.028,0.,0.028,0.001,0.,0.001
96,0.064,0.,0.064,0.017,0.,0.017,0.046,0.,0.046,0.046,0.,0.046,0.001,0.,0.001
97,0.137,0.,0.137,0.108,0.,0.108,0.028,0.,0.028,0.028,0.,0.028,0.001,0.,0.001
98,0.048,0.,0.048,0.017,0.,0.017,0.029,0.,0.029,0.029,0.,0.029,0.001,0.,0.001
99,0.053,0.,0.053,0.018,0.,0.018,0.033,0.,0.033,0.033,0.,0.033,0.001,0.,0.001
100,0.047,0.,0.047,0.018,0.,0.018,0.029,0.,0.029,0.029,0.,0.029,0.001,0.,0.001
110,0.06,0.,0.06,0.024,0.,0.024,0.035,0.,0.035,0.035,0.,0.035,0.001,0.,0.001
120,0.095,0.,0.095,0.028,0.,0.028,0.065,0.,0.065,0.065,0.,0.065,0.001,0.,0.001
130,0.105,0.,0.105,0.035,0.,0.035,0.069,0.,0.069,0.069,0.,0.069,0.001,0.,0.001
140,0.117,0.,0.117,0.043,0.,0.043,0.072,0.,0.072,0.072,0.,0.072,0.001,0.,0.001
150,0.517,0.003,0.513,0.047,0.,0.047,0.469,0.003,0.465,0.469,0.003,0.465,0.001,0.,0.001
160,0.161,0.,0.154,0.064,0.,0.064,0.095,0.,0.088,0.095,0.,0.088,0.001,0.,0.001
170,0.196,0.,0.196,0.075,0.,0.075,0.12,0.,0.12,0.12,0.,0.12,0.001,0.,0.001
180,0.225,0.003,0.221,0.09,0.,0.09,0.133,0.003,0.129,0.133,0.003,0.129,0.002,0.,0.001
190,0.251,0.004,0.247,0.104,0.,0.104,0.146,0.003,0.142,0.146,0.003,0.142,0.002,0.,0.001
200,0.237,0.,0.237,0.111,0.,0.111,0.125,0.,0.125,0.125,0.,0.125,0.002,0.,0.002
210,0.313,0.015,0.297,0.137,0.003,0.134,0.174,0.012,0.162,0.174,0.012,0.162,0.002,0.,0.002
220,0.314,0.004,0.31,0.155,0.,0.155,0.157,0.004,0.153,0.157,0.004,0.153,0.002,0.,0.002
230,0.354,0.,0.354,0.176,0.,0.176,0.176,0.,0.176,0.176,0.,0.176,0.002,0.,0.002
240,0.423,0.007,0.415,0.208,0.,0.208,0.213,0.007,0.205,0.213,0.007,0.205,0.002,0.,0.002
250,0.414,0.011,0.402,0.212,0.,0.212,0.202,0.011,0.19,0.202,0.011,0.19,0.002,0.,0.002
260,0.536,0.011,0.524,0.268,0.003,0.264,0.267,0.007,0.259,0.267,0.007,0.259,0.002,0.,0.002
270,0.556,0.004,0.552,0.289,0.,0.289,0.265,0.003,0.261,0.265,0.003,0.261,0.002,0.,0.002
280,0.571,0.,0.57,0.318,0.,0.318,0.251,0.,0.251,0.251,0.,0.251,0.003,0.,0.003
290,0.637,0.,0.637,0.36,0.,0.36,0.276,0.,0.276,0.276,0.,0.276,0.003,0.,0.003
300,0.707,0.023,0.682,0.391,0.007,0.383,0.315,0.015,0.299,0.315,0.015,0.299,0.003,0.,0.003
310,0.807,0.,0.807,0.44,0.,0.44,0.366,0.,0.366,0.366,0.,0.366,0.003,0.,0.003
320,0.839,0.003,0.835,0.487,0.003,0.483,0.351,0.,0.351,0.351,0.,0.351,0.004,0.,0.004
330,0.878,0.008,0.87,0.527,0.,0.527,0.349,0.008,0.341,0.349,0.008,0.341,0.003,0.,0.003
340,0.999,0.,0.999,0.587,0.,0.587,0.41,0.,0.41,0.41,0.,0.41,0.003,0.,0.003
350,1.011,0.008,1.003,0.603,0.,0.603,0.407,0.008,0.399,0.407,0.008,0.399,0.003,0.,0.003
360,1.103,0.,1.103,0.678,0.,0.678,0.423,0.,0.423,0.423,0.,0.423,0.003,0.,0.003
370,1.167,0.,1.167,0.743,0.,0.743,0.422,0.,0.422,0.422,0.,0.422,0.004,0.,0.004
380,1.308,0.,1.307,0.806,0.,0.806,0.5,0.,0.5,0.5,0.,0.5,0.004,0.,0.004
390,1.371,0.,1.371,0.87,0.,0.87,0.499,0.,0.499,0.499,0.,0.499,0.004,0.,0.004
400,1.447,0.016,1.431,0.921,0.,0.92,0.526,0.016,0.51,0.526,0.016,0.51,0.004,0.,0.004
500,2.661,0.,2.661,1.858,0.,1.858,0.801,0.,0.801,0.801,0.,0.801,0.005,0.,0.005
600,4.338,0.011,4.326,3.232,0.011,3.22,1.104,0.,1.104,1.104,0.,1.104,0.007,0.,0.007
700,6.837,0.028,6.808,5.307,0.007,5.298,1.528,0.02,1.508,1.528,0.02,1.508,0.008,0.,0.008
800,9.594,0.012,9.581,7.643,0.012,7.631,1.949,0.,1.948,1.949,0.,1.948,0.009,0.,0.009
900,13.328,0.028,13.299,10.863,0.,10.863,2.463,0.028,2.435,2.463,0.028,2.435,0.01,0.,0.01
1000,17.629,0.011,17.616,14.56,0.007,14.551,3.067,0.004,3.063,3.067,0.004,3.063,0.011,0.,0.011
