param-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,ssr-rewrite!-regression-quadratic-real,ssr-rewrite!-regression-quadratic-sys,ssr-rewrite!-regression-quadratic-user,ssr-rewrite?-noop-regression-linear-real,ssr-rewrite?-noop-regression-linear-sys,ssr-rewrite?-noop-regression-linear-user
210,1.385,0.003,1.381,0.809,0.,0.808,0.574,0.003,0.57,0.,0.,0.
220,1.571,0.,1.571,0.901,0.,0.901,0.667,0.,0.667,0.,0.,0.
230,1.612,0.,1.612,0.887,0.,0.886,0.723,0.,0.723,0.,0.,0.
240,1.74,0.003,1.736,1.,0.003,0.995,0.738,0.,0.738,0.,0.,0.
250,1.926,0.008,1.918,1.105,0.008,1.097,0.819,0.,0.819,0.,0.,0.
260,2.152,0.,2.152,1.267,0.,1.267,0.882,0.,0.882,0.,0.,0.
270,2.363,0.003,2.359,1.382,0.003,1.378,0.979,0.,0.979,0.,0.,0.
280,2.312,0.012,2.3,1.31,0.003,1.306,0.999,0.007,0.991,0.,0.,0.
290,2.626,0.,2.626,1.532,0.,1.531,1.092,0.,1.091,0.,0.,0.
300,2.79,0.024,2.765,1.554,0.015,1.538,1.234,0.008,1.226,0.,0.,0.
310,3.047,0.003,3.04,1.747,0.003,1.74,1.297,0.,1.297,0.,0.,0.
320,3.131,0.,3.131,1.779,0.,1.779,1.349,0.,1.349,0.,0.,0.
330,3.505,0.,3.505,2.026,0.,2.026,1.476,0.,1.476,0.,0.,0.
340,3.434,0.,3.433,1.905,0.,1.904,1.526,0.,1.526,0.,0.,0.
350,3.684,0.015,3.668,2.152,0.007,2.143,1.531,0.007,1.523,0.,0.,0.
360,3.96,0.,3.96,2.273,0.,2.273,1.684,0.,1.684,0.,0.,0.
370,4.024,0.003,4.02,2.265,0.,2.264,1.756,0.003,1.752,0.,0.,0.
380,4.272,0.004,4.267,2.367,0.003,2.363,1.901,0.,1.901,0.,0.,0.
390,4.99,0.032,4.957,3.017,0.008,3.009,1.97,0.024,1.946,0.,0.,0.
400,4.766,0.036,4.73,2.655,0.011,2.643,2.108,0.023,2.084,0.,0.,0.
