param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,0.129,0.,0.129
7,1,7,,,,,,,,,,,,,,,,,,,0.179,0.001,0.178,0.179,0.002,0.177,0.419,0.003,0.416
7,7,1,,,,,,,,,,,,,,,,,,,0.068,0.,0.068,0.076,0.,0.076,0.175,0.,0.175
8,1,8,,,,,,,,,,,,,,,,,,,0.225,0.,0.225,0.227,0.,0.226,0.589,0.,0.589
8,2,4,,,,,,,,,,,,,,,,,,,0.085,0.,0.085,0.087,0.,0.087,0.154,0.,0.153
8,4,2,,,,,,,,,,,,,,,,,,,0.06,0.,0.06,0.062,0.,0.062,0.166,0.,0.166
8,8,1,,,,,,,,,,,,,,,,,,,0.109,0.,0.109,0.125,0.,0.125,0.263,0.,0.263
9,1,9,,,,,,,,,,,,,,,,,,,0.366,0.,0.366,0.369,0.,0.368,0.839,0.,0.839
9,3,3,,,,,,,,,,,,,,,,,,,0.092,0.,0.092,0.094,0.,0.094,0.251,0.,0.251
9,9,1,,,,,,,,,,,,,,,,,,,0.163,0.,0.163,0.194,0.,0.194,0.37,0.,0.37
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,1.228,0.,1.227
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,0.527,0.,0.527
11,1,11,,,,,,,,,,,,,,,,,,,0.928,0.,0.927,0.929,0.,0.929,,,
11,11,1,,,,,,,,,,,,,,,,,,,0.341,0.,0.341,0.412,0.,0.411,,,
12,1,12,0.005,0.,0.004,,,,,,,,,,,,,,,,1.436,0.001,1.434,1.438,0.003,1.434,,,
12,3,4,0.002,0.,0.002,,,,,,,,,,,,,,,,0.253,0.,0.253,0.256,0.,0.256,0.256,0.,0.256
12,12,1,0.002,0.,0.002,,,,,,,,,,,,,,,,0.477,0.,0.477,0.585,0.,0.585,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,2.934,0.001,2.931
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,1.222,0.002,1.22
15,1,15,,,,,,,,,,,,,,,,,,,5.144,0.002,5.139,5.131,0.002,5.127,,,
15,15,1,,,,,,,,,,,,,,,,,,,1.1,0.,1.1,1.418,0.,1.417,,,
16,1,16,,,,,,,,,,,,,0.003,0.,0.002,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,7.517,0.003,7.513
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,3.082,0.001,3.079
18,1,18,0.008,0.,0.008,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,
20,4,5,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,0.613,0.,0.613
24,1,24,0.013,0.,0.013,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,,,,,,,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
27,27,1,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
30,5,6,0.003,0.,0.003,,,,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
