param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
1393,,,,0.393,0.,0.393,,,,,,,,,,,,,,,
1413,,,,,,,,,,,,,,,,,,,0.028,0.,0.028
1424,,,,0.415,0.,0.415,,,,,,,,,,,,,,,
1441,,,,,,,1.19,0.,1.19,,,,,,,,,,,,
1452,,,,,,,,,,,,,,,,,,,0.03,0.,0.03
1454,,,,,,,1.213,0.012,1.2,,,,,,,,,,,,
1479,,,,,,,,,,0.132,0.003,0.008,0.141,0.004,0.013,,,,,,
1491,,,,,,,,,,,,,,,,,,,0.031,0.,0.031
1530,,,,,,,,,,,,,,,,,,,0.033,0.003,0.03
1531,,,,,,,1.377,0.,1.377,,,,,,,,,,,,
1566,,,,0.498,0.,0.498,,,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,,,,,,0.035,0.,0.035
1593,,,,,,,,,,0.133,0.003,0.009,0.134,0.008,0.005,,,,,,
1609,,,,,,,,,,,,,,,,,,,0.04,0.,0.04
1621,,,,,,,1.465,0.003,1.461,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,0.038,0.,0.038
1687,,,,,,,,,,,,,,,,,,,0.04,0.,0.04
1706,,,,,,,,,,0.134,0.003,0.01,0.135,0.004,0.01,,,,,,
1709,,,,0.58,0.,0.58,,,,,,,,,,,,,,,
1711,,,,,,,1.619,0.004,1.615,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,,,,,0.042,0.,0.042
1765,,,,,,,,,,,,,,,,,,,0.043,0.,0.043
1801,,,,,,,1.792,0.019,1.772,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,0.045,0.,0.045
1820,,,,,,,,,,0.146,0.003,0.02,0.137,0.004,0.011,,,,,,
1826,,,,0.624,0.,0.624,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,0.047,0.,0.047
1851,,,,0.68,0.,0.68,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,0.05,0.,0.05
1922,,,,,,,,,,,,,,,,,,,0.051,0.,0.051
1933,,,,,,,,,,0.139,0.004,0.012,0.139,0.003,0.013,,,,,,
1961,,,,,,,,,,,,,,,,,,,0.052,0.,0.052
1993,,,,0.792,0.,0.792,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,0.055,0.,0.055
2013,,,,,,,,,,,,,,,,,,,0.055,0.,0.055
2040,,,,,,,,,,,,,,,,,,,0.056,0.,0.056
2047,,,,,,,,,,0.142,0.003,0.017,0.139,0.003,0.014,,,,,,
2079,,,,,,,,,,,,,,,,,,,0.058,0.,0.058
2118,,,,,,,,,,,,,,,,,,,0.065,0.,0.065
2136,,,,0.911,0.,0.911,,,,,,,,,,,,,,,
2157,,,,,,,,,,,,,,,,,,,0.063,0.,0.063
2161,,,,,,,2.639,0.,2.639,0.141,0.003,0.015,0.148,0.007,0.016,,,,,,
2197,,,,,,,,,,,,,,,,,,,0.066,0.,0.066
2236,,,,,,,,,,,,,,,,,,,0.068,0.,0.068
2274,,,,,,,,,,0.142,0.003,0.016,0.146,0.004,0.016,,,,,,
2275,,,,,,,,,,,,,,,,,,,0.071,0.,0.071
2278,,,,1.076,0.,1.076,,,,,,,,,,,,,,,
2282,,,,0.963,0.,0.963,,,,,,,,,,,,,,,
2314,,,,,,,,,,,,,,,,,,,0.074,0.,0.074
2353,,,,,,,,,,,,,,,,,,,0.075,0.,0.075
2388,,,,,,,,,,0.148,0.007,0.018,0.144,0.003,0.018,,,,,,
2392,,,,,,,,,,,,,,,,,,,0.077,0.,0.077
2420,,,,1.193,0.,1.193,,,,,,,,,,,,,,,
2432,,,,,,,,,,,,,,,,,,,0.081,0.,0.081
2471,,,,,,,,,,,,,,,,,,,0.08,0.,0.08
2502,,,,,,,,,,0.149,0.003,0.024,0.145,0.004,0.018,,,,,,
2510,,,,,,,,,,,,,,,,,,,0.084,0.,0.084
2521,,,,,,,3.502,0.012,3.49,,,,,,,,,,,,
2549,,,,,,,,,,,,,,,,,,,0.085,0.,0.085
2562,,,,1.309,0.,1.309,,,,,,,,,,,,,,,
2588,,,,,,,,,,,,,,,,,,,0.089,0.,0.089
2615,,,,,,,,,,0.152,0.004,0.021,0.153,0.004,0.026,,,,,,
2628,,,,,,,,,,,,,,,,,,,0.093,0.,0.093
2667,,,,,,,,,,,,,,,,,,,0.096,0.,0.096
2705,,,,1.482,0.,1.482,,,,,,,,,,,,,,,
2706,,,,,,,,,,,,,,,,,,,0.1,0.,0.1
2729,,,,,,,,,,0.15,0.01,0.016,0.155,0.008,0.023,,,,,,
2745,,,,,,,,,,,,,,,,,,,0.1,0.003,0.096
2784,,,,,,,,,,,,,,,,,,,0.101,0.,0.101
2824,,,,,,,,,,,,,,,,,,,0.105,0.,0.105
2842,,,,,,,,,,0.152,0.004,0.024,0.155,0.003,0.029,,,,,,
2847,,,,1.617,0.,1.617,,,,,,,,,,,,,,,
2863,,,,,,,,,,,,,,,,,,,0.109,0.,0.109
2881,,,,,,,4.769,0.015,4.753,,,,,,,,,,,,
2902,,,,,,,,,,,,,,,,,,,0.109,0.,0.109
2941,,,,,,,,,,,,,,,,,,,0.116,0.,0.116
2956,,,,,,,,,,0.157,0.007,0.028,0.153,0.003,0.027,,,,,,
2980,,,,,,,,,,,,,,,,,,,0.117,0.,0.117
3019,,,,,,,,,,,,,,,,,,,0.12,0.,0.12
3059,,,,,,,,,,,,,,,,,,,0.124,0.,0.124
3070,,,,,,,,,,0.163,0.004,0.03,0.157,0.003,0.028,,,,,,
3098,,,,,,,,,,,,,,,,,,,0.123,0.,0.123
3137,,,,,,,,,,,,,,,,,,,0.129,0.,0.129
3183,,,,,,,,,,0.159,0.008,0.028,0.16,0.004,0.033,,,,,,
3241,,,,,,,5.969,0.003,5.965,,,,,,,,,,,,
3268,,,,,,,,,,,,,,,,,,,0.136,0.,0.136
3297,,,,,,,,,,0.158,0.004,0.032,0.165,0.004,0.037,,,,,,
3398,,,,,,,,,,,,,,,,,,,0.15,0.,0.15
3410,,,,,,,,,,0.164,0.004,0.036,0.163,0.003,0.037,,,,,,
3416,,,,2.287,0.007,2.279,,,,,,,,,,,,,,,
3524,,,,,,,,,,0.161,0.003,0.036,0.165,0.003,0.04,,,,,,
3529,,,,,,,,,,,,,,,,,,,0.162,0.,0.162
3601,,,,,,,7.225,0.016,7.209,,,,,,,,,,,,
3638,,,,,,,,,,0.17,0.007,0.04,0.171,0.004,0.041,,,,,,
3660,,,,,,,,,,,,,,,,,,,0.182,0.,0.182
3674,,,,,,,,,,0.159,0.004,0.036,0.202,0.007,0.082,,,,,,
3751,,,,,,,,,,0.173,0.004,0.045,0.172,0.007,0.04,,,,,,
