param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
825,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.,0.015
829,,,,,,,0.595,0.,0.595,,,,,,,,,,,,,,,,,,,,
837,,,,0.227,0.,0.227,,,,,,,,,,,,,,,,,,,,,,,
847,,,,,,,0.514,0.,0.514,,,,,,,,,,,,,,,,,,,,
864,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.,0.017
865,,,,,,,0.538,0.003,0.534,,,,,,,,,,,,,,,,,,,,
868,,,,0.257,0.,0.257,,,,,,,,,,,,,,,,,,,,,,,
873,,,,,,,0.71,0.011,0.698,,,,,,,,,,,,,,,,,,,,
883,,,,,,,0.646,0.,0.645,,,,,,,,,,,,,,,,,,,,
898,,,,0.263,0.003,0.259,,,,,,,,,,,,,,,,,,,,,,,
901,,,,,,,0.654,0.,0.654,,,,,,,,,,,,,,,,,,,,
903,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.,0.019
911,,,,,,,,,,0.08298,0.00031,0.00319,0.03302,0.119,0.008,0.03,0.08407,0.00036,0.00339,0.00097,0.088,0.004,0.003,,,,,,
914,,,,0.299,0.,0.299,,,,,,,,,,,,,,,,,,,,,,,
929,,,,0.272,0.,0.272,,,,,,,,,,,,,,,,,,,,,,,
943,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.,0.02
960,,,,0.286,0.,0.286,,,,,,,,,,,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.,0.023
991,,,,0.308,0.,0.308,0.787,0.,0.787,,,,,,,,,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.,0.024
1022,,,,0.328,0.,0.328,,,,,,,,,,,,,,,,,,,,,,,
1025,,,,,,,,,,0.08621,0.00027,0.00459,0.00128,0.092,0.004,0.004,0.08498,0.00031,0.00437,0.00127,0.091,0.,0.008,,,,,,
1053,,,,0.342,0.003,0.338,,,,,,,,,,,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.,0.027
