param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
64,8,8,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
64,64,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
67,1,67,0.067,0.,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,1,0.04,0.,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,68,,,,,,,,,,,,,,,,,0.023,0.,0.023,,,,,,,,,,,,
68,68,1,,,,,,,,,,,,,,,,,0.01,0.,0.01,,,,,,,,,,,,
72,8,9,0.007,0.,0.007,,,,,,,0.08238,0.00045,0.00094,0.00030,0.084,0.004,0.,0.006,0.,0.006,0.,0.,0.,,,,,,,,,
74,1,74,0.077,0.,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,1,0.04,0.,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,78,,,,,,,,,,0.08299,0.00042,0.00097,0.00031,0.084,0.004,0.,,,,0.,0.,0.,,,,,,,,,
78,78,1,,,,,,,,,,0.08670,0.00046,0.00093,0.00045,0.088,0.003,0.001,,,,0.,0.,0.,,,,,,,,,
79,1,79,,,,,,,,,,,,,,,,,0.026,0.,0.026,,,,,,,,,,,,
79,79,1,,,,,,,,,,,,,,,,,0.014,0.,0.014,,,,,,,,,,,,
80,1,80,0.097,0.,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,1,0.061,0.,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,86,0.094,0.,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,1,0.049,0.,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,89,,,,,,,,,,,,,,,,,0.03,0.,0.03,,,,,,,,,,,,
89,89,1,,,,,,,,,,,,,,,,,0.013,0.,0.013,,,,,,,,,,,,
90,9,10,0.01,0.,0.01,,,,,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
92,1,92,0.122,0.,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,1,0.136,0.,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,98,0.15,0.,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,1,0.107,0.,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,99,,,,,,,,,,,,,,,,,0.059,0.,0.059,,,,,,,,,,,,
99,99,1,,,,,,,,,,,,,,,,,0.019,0.,0.019,,,,,,,,,,,,
104,1,104,0.186,0.,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,1,0.095,0.,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,110,0.168,0.,0.168,,,,,,,,,,,,,,0.047,0.,0.047,,,,,,,,,,,,
110,10,11,0.013,0.,0.013,,,,,,,0.08694,0.00043,0.00094,0.00046,0.088,0.004,0.,0.008,0.,0.008,0.,0.,0.,,,,,,,,,
110,110,1,0.097,0.,0.097,,,,,,,,,,,,,,0.02,0.,0.02,,,,,,,,,,,,
114,1,114,,,,,,,,,,0.09107,0.00042,0.00096,0.00043,0.093,0.,0.004,,,,0.,0.,0.,,,,,,,,,
114,114,1,,,,,,,,,,0.08347,0.00041,0.00099,0.00064,0.085,0.003,0.001,,,,0.,0.,0.,,,,,,,,,
117,1,117,0.184,0.,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,1,0.1,0.,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,120,,,,,,,,,,,,,,,,,0.051,0.,0.051,,,,,,,,,,,,
120,120,1,,,,,,,,,,,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
122,1,122,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
122,122,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
123,1,123,0.18,0.,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,1,0.096,0.,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,129,0.248,0.,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,1,0.14,0.,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,131,,,,,,,,,,,,,,,,,0.06,0.,0.06,,,,,,,,,,,,
131,131,1,,,,,,,,,,,,,,,,,0.028,0.,0.028,,,,,,,,,,,,
132,11,12,0.013,0.,0.013,0.,0.,0.,0.,0.,0.,,,,,,,,0.009,0.,0.009,,,,,,,,,,,,
135,1,135,0.242,0.,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,1,0.137,0.,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,141,,,,,,,,,,,,,,,,,0.065,0.,0.065,,,,,,,,,,,,
141,141,1,,,,,,,,,,,,,,,,,0.03,0.,0.03,,,,,,,,,,,,
150,1,150,,,,,,,,,,0.08199,0.00037,0.00077,0.00046,0.083,0.,0.004,,,,0.,0.,0.,,,,,,,,,
150,150,1,,,,,,,,,,0.08173,0.00036,0.00085,0.00065,0.083,0.,0.004,,,,0.001,0.,0.001,,,,,,,,,
151,1,151,,,,,,,,,,,,,,,,,0.072,0.,0.072,,,,,,,,,,,,
151,151,1,,,,,,,,,,,,,,,,,0.032,0.,0.032,,,,,,,,,,,,
156,12,13,0.014,0.,0.014,,,,,,,0.08225,0.00033,0.00088,0.00066,0.084,0.,0.004,0.024,0.,0.024,0.,0.,0.,,,,,,,,,
157,1,157,0.283,0.,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,1,0.17,0.,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1,162,,,,,,,,,,,,,,,,,0.082,0.,0.082,,,,,,,,,,,,
162,162,1,,,,,,,,,,,,,,,,,0.043,0.,0.043,,,,,,,,,,,,
172,1,172,,,,,,,,,,,,,,,,,0.099,0.,0.099,,,,,,,,,,,,
172,172,1,,,,,,,,,,,,,,,,,0.046,0.,0.046,,,,,,,,,,,,
180,1,180,0.388,0.,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,1,0.193,0.,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1,181,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
181,181,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
182,1,182,,,,,,,,,,,,,,,,,0.11,0.,0.11,,,,,,,,,,,,
182,13,14,0.017,0.,0.017,0.,0.,0.,0.,0.,0.,0.08310,0.00043,0.00094,0.00072,0.085,0.003,0.001,0.031,0.,0.031,0.001,0.,0.001,,,,,,,,,
182,182,1,,,,,,,,,,,,,,,,,0.132,0.,0.132,,,,,,,,,,,,
185,1,185,,,,,,,,,,0.09402,0.00042,0.00100,0.00076,0.096,0.,0.004,,,,0.001,0.,0.001,,,,,,,,,
185,185,1,,,,,,,,,,0.09542,0.00045,0.00102,0.00100,0.098,0.003,0.002,,,,0.001,0.,0.001,,,,,,,,,
193,1,193,,,,,,,,,,,,,,,,,0.125,0.,0.125,,,,,,,,,,,,
