param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
570,,,,,,,,,,0.10723,0.00026,0.00150,0.00048,0.109,0.004,0.001,0.10746,0.00028,0.00149,0.00049,0.109,0.003,0.002,,,,,,
576,,,,0.075,0.,0.075,,,,,,,,,,,,,,,,,,,,,,,
577,,,,,,,0.169,0.,0.169,,,,,,,,,,,,,,,,,,,,
583,,,,,,,0.169,0.,0.168,,,,,,,,,,,,,,,,,,,,
585,,,,0.078,0.,0.078,,,,,,,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.,0.006
593,,,,0.077,0.,0.077,,,,,,,,,,,,,,,,,,,,,,,
595,,,,,,,0.185,0.,0.185,,,,,,,,,,,,,,,,,,,,
602,,,,0.078,0.,0.078,,,,,,,,,,,,,,,,,,,,,,,
610,,,,0.08,0.,0.08,,,,,,,,,,,,,,,,,,,,,,,
613,,,,,,,0.225,0.,0.225,,,,,,,,,,,,,,,,,,,,
619,,,,0.082,0.,0.082,,,,,,,,,,,,,,,,,,,,,,,
627,,,,0.084,0.,0.084,,,,,,,,,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.,0.007
631,,,,,,,0.238,0.,0.237,,,,,,,,,,,,,,,,,,,,
636,,,,0.086,0.,0.086,,,,,,,,,,,,,,,,,,,,,,,
644,,,,0.088,0.,0.088,,,,,,,,,,,,,,,,,,,,,,,
649,,,,,,,0.194,0.,0.194,,,,,,,,,,,,,,,,,,,,
653,,,,0.092,0.,0.092,,,,,,,,,,,,,,,,,,,,,,,
662,,,,0.093,0.,0.093,,,,,,,,,,,,,,,,,,,,,,,
667,,,,,,,0.236,0.,0.236,,,,,,,,,,,,,,,,,,,,
668,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.,0.008
670,,,,0.096,0.,0.096,,,,,,,,,,,,,,,,,,,,,,,
679,,,,0.1,0.,0.1,,,,,,,,,,,,,,,,,,,,,,,
684,,,,,,,,,,0.10665,0.00026,0.00185,0.00059,0.109,0.004,0.002,0.10722,0.00031,0.00192,0.00059,0.11,0.006,0.,,,,,,
685,,,,,,,0.239,0.,0.237,,,,,,,,,,,,,,,,,,,,
687,,,,0.1,0.,0.1,,,,,,,,,,,,,,,,,,,,,,,
696,,,,0.101,0.,0.101,,,,,,,,,,,,,,,,,,,,,,,
703,,,,,,,0.261,0.,0.261,,,,,,,,,,,,,,,,,,,,
704,,,,0.108,0.,0.108,,,,,,,,,,,,,,,,,,,,,,,
707,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.,0.009
713,,,,0.111,0.,0.111,,,,,,,,,,,,,,,,,,,,,,,
721,,,,,,,0.321,0.,0.321,,,,,,,,,,,,,,,,,,,,
739,,,,,,,0.282,0.,0.282,,,,,,,,,,,,,,,,,,,,
744,,,,0.121,0.,0.121,,,,,,,,,,,,,,,,,,,,,,,
747,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.,0.01
757,,,,,,,0.295,0.,0.295,,,,,,,,,,,,,,,,,,,,
775,,,,0.127,0.,0.127,0.311,0.,0.311,,,,,,,,,,,,,,,,,,,,
786,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.,0.011
793,,,,,,,0.349,0.,0.349,,,,,,,,,,,,,,,,,,,,
797,,,,,,,,,,0.10782,0.00026,0.00242,0.00068,0.111,0.003,0.003,0.10681,0.00028,0.00229,0.00071,0.11,0.003,0.003,,,,,,
806,,,,0.133,0.,0.133,,,,,,,,,,,,,,,,,,,,,,,
811,,,,,,,0.352,0.,0.352,,,,,,,,,,,,,,,,,,,,
825,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.,0.012
829,,,,,,,0.372,0.,0.372,,,,,,,,,,,,,,,,,,,,
837,,,,0.143,0.,0.143,,,,,,,,,,,,,,,,,,,,,,,
847,,,,,,,0.365,0.,0.365,,,,,,,,,,,,,,,,,,,,
864,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.,0.013
865,,,,,,,0.446,0.,0.446,,,,,,,,,,,,,,,,,,,,
868,,,,0.152,0.,0.152,,,,,,,,,,,,,,,,,,,,,,,
873,,,,,,,0.412,0.007,0.404,,,,,,,,,,,,,,,,,,,,
883,,,,,,,0.4,0.,0.4,,,,,,,,,,,,,,,,,,,,
898,,,,0.17,0.,0.17,,,,,,,,,,,,,,,,,,,,,,,
901,,,,,,,0.428,0.,0.428,,,,,,,,,,,,,,,,,,,,
903,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.,0.014
911,,,,,,,,,,0.10795,0.00026,0.00278,0.00076,0.111,0.004,0.004,0.10658,0.00028,0.00276,0.00075,0.11,0.007,0.,,,,,,
914,,,,0.164,0.,0.164,,,,,,,,,,,,,,,,,,,,,,,
929,,,,0.179,0.,0.179,,,,,,,,,,,,,,,,,,,,,,,
943,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.,0.015
960,,,,0.187,0.,0.187,,,,,,,,,,,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.,0.017
991,,,,0.199,0.,0.199,0.551,0.,0.551,,,,,,,,,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.,0.017
1022,,,,0.204,0.,0.204,,,,,,,,,,,,,,,,,,,,,,,
1025,,,,,,,,,,0.10806,0.00026,0.00344,0.00085,0.112,0.003,0.005,0.10851,0.00028,0.00343,0.00086,0.113,0.004,0.004,,,,,,
1053,,,,0.216,0.003,0.213,,,,,,,,,,,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.,0.02
1081,,,,,,,0.633,0.,0.633,,,,,,,,,,,,,,,,,,,,
1084,,,,0.23,0.,0.23,,,,,,,,,,,,,,,,,,,,,,,
1099,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.,0.02
1115,,,,0.24,0.003,0.236,,,,,,,,,,,,,,,,,,,,,,,
1138,,,,,,,,,,0.10684,0.00026,0.03592,0.00097,0.144,0.008,0.033,0.10736,0.00027,0.00394,0.00098,0.112,0.,0.009,,,,0.021,0.,0.021
1146,,,,0.25,0.,0.25,,,,,,,,,,,,,,,,,,,,,,,
1164,,,,,,,0.78,0.004,0.776,,,,,,,,,,,,,,,,,,,,
1171,,,,,,,0.745,0.,0.745,,,,,,,,,,,,,,,,,,,,
1177,,,,0.264,0.,0.264,,,,,,,,,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.,0.023
1208,,,,0.276,0.,0.276,,,,,,,,,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.,0.024
1239,,,,0.293,0.,0.293,,,,,,,,,,,,,,,,,,,,,,,
1252,,,,,,,,,,0.10738,0.00028,0.00456,0.00102,0.113,0.004,0.006,0.10776,0.00027,0.00452,0.00106,0.113,0.003,0.006,,,,,,
1256,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.,0.025
1261,,,,,,,0.881,0.,0.881,,,,,,,,,,,,,,,,,,,,
1269,,,,0.306,0.,0.306,,,,,,,,,,,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.,0.027
1300,,,,0.321,0.,0.321,,,,,,,,,,,,,,,,,,,,,,,
1331,,,,0.335,0.,0.335,,,,,,,,,,,,,,,,,,,,,,,
1334,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.,0.029
1351,,,,,,,0.967,0.,0.967,,,,,,,,,,,,,,,,,,,,
1362,,,,0.354,0.,0.354,,,,,,,,,,,,,,,,,,,,,,,
1365,,,,,,,,,,0.10809,0.00026,0.00542,0.00110,0.115,0.004,0.006,0.10634,0.00028,0.00531,0.00118,0.113,0.002,0.008,,,,,,
1370,,,,0.349,0.,0.349,,,,,,,,,,,,,,,,,,,,,,,
1374,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.,0.03
1393,,,,0.364,0.,0.364,,,,,,,,,,,,,,,,,,,,,,,
1413,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.,0.031
1424,,,,0.376,0.,0.376,,,,,,,,,,,,,,,,,,,,,,,
1441,,,,,,,1.242,0.003,1.238,,,,,,,,,,,,,,,,,,,,
1452,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.,0.034
1454,,,,,,,1.159,0.004,1.155,,,,,,,,,,,,,,,,,,,,
1479,,,,,,,,,,0.10749,0.00026,0.00603,0.00127,0.115,0.003,0.007,0.10748,0.00028,0.01098,0.00119,0.12,0.004,0.012,,,,,,
1491,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.,0.035
1530,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,0.,0.038
1531,,,,,,,1.259,0.003,1.255,,,,,,,,,,,,,,,,,,,,
1566,,,,0.451,0.,0.451,,,,,,,,,,,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.,0.039
