param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
55,1,55,0.014,0.,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,1,0.021,0.,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,7,8,0.003,0.,0.003,,,,,,,,,,,,,,0.036,0.,0.036,,,,,,,,,,,,
58,1,58,,,,,,,,,,,,,,,,,0.014,0.,0.014,,,,,,,,,,,,
58,58,1,,,,,,,,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
61,1,61,0.016,0.,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,1,0.008,0.,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,64,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
64,8,8,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
64,64,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
67,1,67,0.019,0.,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,1,0.012,0.,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,68,,,,,,,,,,,,,,,,,0.018,0.,0.018,,,,,,,,,,,,
68,68,1,,,,,,,,,,,,,,,,,0.009,0.,0.009,,,,,,,,,,,,
72,8,9,0.004,0.,0.004,,,,,,,0.07333,0.00018,0.00040,0.00023,0.074,0.,0.002,0.004,0.,0.004,0.,0.,0.,,,,,,,,,
74,1,74,0.022,0.,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,1,0.012,0.,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,78,,,,,,,,,,0.07214,0.00018,0.00043,0.00023,0.073,0.,0.001,,,,0.,0.,0.,,,,,,,,,
78,78,1,,,,,,,,,,0.07279,0.00018,0.00039,0.00030,0.073,0.,0.001,,,,0.,0.,0.,,,,,,,,,
79,1,79,,,,,,,,,,,,,,,,,0.037,0.,0.037,,,,,,,,,,,,
79,79,1,,,,,,,,,,,,,,,,,0.01,0.,0.01,,,,,,,,,,,,
80,1,80,0.025,0.,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,1,0.014,0.,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,86,0.028,0.,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,1,0.015,0.,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,89,,,,,,,,,,,,,,,,,0.027,0.,0.027,,,,,,,,,,,,
89,89,1,,,,,,,,,,,,,,,,,0.013,0.,0.013,,,,,,,,,,,,
90,9,10,0.005,0.,0.005,,,,,,,,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
92,1,92,0.035,0.,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,1,0.016,0.,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,98,0.037,0.,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,1,0.023,0.,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,99,,,,,,,,,,,,,,,,,0.033,0.,0.033,,,,,,,,,,,,
99,99,1,,,,,,,,,,,,,,,,,0.017,0.,0.017,,,,,,,,,,,,
104,1,104,0.045,0.,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,1,0.024,0.,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,110,0.042,0.,0.042,,,,,,,,,,,,,,0.038,0.,0.038,,,,,,,,,,,,
110,10,11,0.006,0.,0.006,,,,,,,0.07356,0.00018,0.00039,0.00032,0.074,0.,0.001,0.007,0.,0.007,0.,0.,0.,,,,,,,,,
110,110,1,0.026,0.,0.026,,,,,,,,,,,,,,0.019,0.,0.019,,,,,,,,,,,,
114,1,114,,,,,,,,,,0.07292,0.00018,0.00041,0.00048,0.074,0.,0.002,,,,0.,0.,0.,,,,,,,,,
114,114,1,,,,,,,,,,0.07286,0.00018,0.00040,0.00056,0.074,0.,0.002,,,,0.,0.,0.,,,,,,,,,
117,1,117,0.046,0.,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,1,0.08,0.,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,120,,,,,,,,,,,,,,,,,0.043,0.,0.043,,,,,,,,,,,,
120,120,1,,,,,,,,,,,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
122,1,122,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
122,122,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
123,1,123,0.05,0.,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,1,0.055,0.,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,129,0.06,0.,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,1,0.056,0.,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,131,,,,,,,,,,,,,,,,,0.052,0.,0.052,,,,,,,,,,,,
131,131,1,,,,,,,,,,,,,,,,,0.029,0.,0.029,,,,,,,,,,,,
132,11,12,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,,,,,,,,0.008,0.,0.008,,,,,,,,,,,,
135,1,135,0.064,0.,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,1,0.041,0.,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,141,,,,,,,,,,,,,,,,,0.058,0.,0.058,,,,,,,,,,,,
141,141,1,,,,,,,,,,,,,,,,,0.035,0.,0.035,,,,,,,,,,,,
150,1,150,,,,,,,,,,0.07368,0.00032,0.00045,0.00056,0.075,0.,0.002,,,,0.,0.,0.,,,,,,,,,
150,150,1,,,,,,,,,,0.07340,0.00018,0.00041,0.00062,0.074,0.,0.002,,,,0.,0.,0.,,,,,,,,,
151,1,151,,,,,,,,,,,,,,,,,0.064,0.,0.064,,,,,,,,,,,,
151,151,1,,,,,,,,,,,,,,,,,0.032,0.,0.032,,,,,,,,,,,,
156,12,13,0.008,0.,0.008,,,,,,,0.07406,0.00017,0.00042,0.00044,0.075,0.002,0.,0.009,0.,0.009,0.,0.,0.,,,,,,,,,
157,1,157,0.077,0.,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,1,0.052,0.,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1,162,,,,,,,,,,,,,,,,,0.071,0.,0.071,,,,,,,,,,,,
162,162,1,,,,,,,,,,,,,,,,,0.044,0.,0.044,,,,,,,,,,,,
172,1,172,,,,,,,,,,,,,,,,,0.08,0.,0.08,,,,,,,,,,,,
172,172,1,,,,,,,,,,,,,,,,,0.039,0.,0.039,,,,,,,,,,,,
180,1,180,0.097,0.,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,1,0.063,0.,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1,181,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
181,181,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
182,1,182,,,,,,,,,,,,,,,,,0.086,0.,0.086,,,,,,,,,,,,
182,13,14,0.01,0.,0.01,0.,0.,0.,0.,0.,0.,0.07324,0.00017,0.00040,0.00063,0.074,0.,0.002,0.011,0.,0.011,0.,0.,0.,,,,,,,,,
182,182,1,,,,,,,,,,,,,,,,,0.042,0.,0.042,,,,,,,,,,,,
185,1,185,,,,,,,,,,0.07206,0.00017,0.00042,0.00063,0.073,0.,0.002,,,,0.,0.,0.,,,,,,,,,
185,185,1,,,,,,,,,,0.07348,0.00018,0.00042,0.00079,0.075,0.,0.002,,,,0.,0.,0.,,,,,,,,,
193,1,193,,,,,,,,,,,,,,,,,0.099,0.,0.099,,,,,,,,,,,,
193,193,1,,,,,,,,,,,,,,,,,0.109,0.,0.109,,,,,,,,,,,,
202,1,202,0.181,0.,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,202,1,0.114,0.,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1,203,,,,,,,,,,,,,,,,,0.106,0.,0.106,,,,,,,,,,,,
203,203,1,,,,,,,,,,,,,,,,,0.059,0.,0.059,,,,,,,,,,,,
210,1,210,0.173,0.018,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,14,15,0.026,0.,0.025,,,,,,,0.07323,0.00018,0.00042,0.00070,0.074,0.,0.002,0.013,0.,0.013,0.,0.,0.,,,,,,,,,
210,210,1,0.093,0.,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,214,,,,,,,,,,,,,,,,,0.14,0.,0.14,,,,,,,,,,,,
214,214,1,,,,,,,,,,,,,,,,,0.061,0.,0.061,,,,,,,,,,,,
221,1,221,,,,,,,,,,0.07307,0.00018,0.00043,0.00060,0.074,0.,0.002,,,,0.,0.,0.,,,,,,,,,
221,221,1,,,,,,,,,,0.07380,0.00018,0.00041,0.00094,0.075,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
224,1,224,0.167,0.,0.167,,,,,,,,,,,,,,0.126,0.,0.126,,,,,,,,,,,,
224,224,1,0.1,0.,0.1,,,,,,,,,,,,,,0.083,0.,0.083,,,,,,,,,,,,
234,1,234,,,,,,,,,,,,,,,,,0.133,0.,0.133,,,,,,,,,,,,
234,234,1,,,,,,,,,,,,,,,,,0.069,0.,0.069,,,,,,,,,,,,
239,1,239,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
239,239,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
240,15,16,0.013,0.,0.013,0.,0.,0.,0.,0.,0.,,,,,,,,0.015,0.,0.015,,,,,,,,,,,,
245,1,245,,,,,,,,,,,,,,,,,0.147,0.,0.147,,,,,,,,,,,,
245,245,1,,,,,,,,,,,,,,,,,0.071,0.003,0.068,,,,,,,,,,,,
247,1,247,0.176,0.,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,247,1,0.106,0.,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1,255,,,,,,,,,,,,,,,,,0.158,0.,0.158,,,,,,,,,,,,
255,255,1,,,,,,,,,,,,,,,,,0.073,0.,0.073,,,,,,,,,,,,
