param-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,ssr-rewrite!-regression-quadratic-real,ssr-rewrite!-regression-quadratic-sys,ssr-rewrite!-regression-quadratic-user,ssr-rewrite?-noop-regression-linear-real,ssr-rewrite?-noop-regression-linear-sys,ssr-rewrite?-noop-regression-linear-user
270,0.625,0.,0.625,0.281,0.,0.281,0.342,0.,0.342,0.,0.,0.
280,0.651,0.,0.651,0.294,0.,0.294,0.355,0.,0.355,0.,0.,0.
290,0.742,0.,0.742,0.348,0.,0.348,0.392,0.,0.392,0.,0.,0.
300,0.805,0.,0.805,0.338,0.,0.338,0.465,0.,0.465,0.,0.,0.
310,0.8,0.,0.8,0.354,0.,0.354,0.444,0.,0.443,0.,0.,0.
320,0.84,0.,0.84,0.383,0.,0.383,0.455,0.,0.455,0.,0.,0.
330,0.962,0.,0.962,0.438,0.,0.438,0.523,0.,0.523,0.,0.,0.
340,0.957,0.,0.957,0.431,0.,0.431,0.524,0.,0.524,0.,0.,0.
350,0.984,0.003,0.98,0.459,0.,0.459,0.524,0.003,0.52,0.,0.,0.
360,1.103,0.,1.103,0.508,0.,0.508,0.593,0.,0.593,0.,0.,0.
370,1.172,0.,1.172,0.554,0.,0.554,0.616,0.,0.616,0.,0.,0.
380,1.217,0.,1.217,0.543,0.,0.543,0.672,0.,0.672,0.,0.,0.
390,1.23,0.,1.23,0.571,0.,0.571,0.656,0.,0.656,0.,0.,0.
400,1.336,0.003,1.332,0.597,0.003,0.593,0.738,0.,0.738,0.,0.,0.
