param-n,abstract+autorewrite-regression-quadratic-real,abstract+autorewrite-regression-quadratic-sys,abstract+autorewrite-regression-quadratic-user,abstract+rewrite!-regression-quadratic-real,abstract+rewrite!-regression-quadratic-sys,abstract+rewrite!-regression-quadratic-user,autorewrite-noop-regression-linear-real,autorewrite-noop-regression-linear-sys,autorewrite-noop-regression-linear-user,autorewrite-regression-quadratic-real,autorewrite-regression-quadratic-sys,autorewrite-regression-quadratic-user,close-abstract+autorewrite-regression-quadratic-real,close-abstract+autorewrite-regression-quadratic-sys,close-abstract+autorewrite-regression-quadratic-user,close-abstract+rewrite!-regression-quadratic-real,close-abstract+rewrite!-regression-quadratic-sys,close-abstract+rewrite!-regression-quadratic-user,rewrite!-regression-quadratic-real,rewrite!-regression-quadratic-sys,rewrite!-regression-quadratic-user,rewrite?-noop-regression-linear-real,rewrite?-noop-regression-linear-sys,rewrite?-noop-regression-linear-user
46,0.059,0.,0.059,0.041,0.,0.041,0.,0.,0.,0.029,0.,0.029,0.029,0.,0.029,0.01,0.,0.01,0.03,0.,0.03,0.,0.,0.
47,0.04,0.,0.04,0.062,0.,0.062,0.,0.,0.,0.028,0.,0.028,0.01,0.,0.01,0.01,0.,0.01,0.05,0.,0.05,0.,0.,0.
48,0.043,0.,0.043,0.044,0.,0.044,0.,0.,0.,0.032,0.,0.032,0.01,0.,0.01,0.01,0.,0.01,0.032,0.,0.032,0.,0.,0.
49,0.044,0.,0.044,0.047,0.,0.047,0.,0.,0.,0.032,0.,0.032,0.01,0.,0.01,0.01,0.,0.01,0.035,0.,0.035,0.,0.,0.
50,0.119,0.012,0.107,0.12,0.019,0.101,0.,0.,0.,0.051,0.007,0.043,0.067,0.003,0.063,0.069,0.003,0.066,0.048,0.015,0.033,0.,0.,0.
51,0.048,0.002,0.046,0.049,0.,0.049,0.,0.,0.,0.036,0.002,0.034,0.011,0.,0.011,0.011,0.,0.011,0.035,0.,0.035,0.,0.,0.
52,0.049,0.,0.049,0.05,0.,0.05,0.,0.,0.,0.035,0.,0.035,0.012,0.,0.012,0.012,0.,0.012,0.036,0.,0.036,0.,0.,0.
53,0.05,0.,0.05,0.052,0.,0.052,0.,0.,0.,0.036,0.,0.036,0.012,0.,0.012,0.013,0.,0.013,0.038,0.,0.038,0.,0.,0.
54,0.05,0.,0.05,0.053,0.,0.053,0.,0.,0.,0.036,0.,0.036,0.012,0.,0.012,0.013,0.,0.013,0.038,0.,0.038,0.,0.,0.
55,0.054,0.,0.054,0.056,0.,0.056,0.,0.,0.,0.039,0.,0.039,0.014,0.,0.014,0.014,0.,0.014,0.041,0.,0.041,0.,0.,0.
56,0.055,0.,0.055,0.056,0.,0.056,0.,0.,0.,0.04,0.,0.04,0.014,0.,0.014,0.013,0.,0.013,0.041,0.,0.041,0.,0.,0.
57,0.058,0.,0.058,0.058,0.,0.058,0.,0.,0.,0.04,0.,0.04,0.015,0.,0.015,0.014,0.,0.014,0.042,0.,0.042,0.,0.,0.
58,0.059,0.003,0.055,0.061,0.,0.061,0.,0.,0.,0.043,0.,0.043,0.014,0.002,0.011,0.015,0.,0.015,0.045,0.,0.045,0.,0.,0.
59,0.062,0.,0.062,0.061,0.,0.061,0.,0.,0.,0.043,0.,0.043,0.016,0.,0.016,0.016,0.,0.016,0.043,0.,0.043,0.,0.,0.
60,0.064,0.,0.064,0.065,0.,0.065,0.,0.,0.,0.046,0.,0.046,0.016,0.,0.016,0.015,0.,0.015,0.047,0.,0.047,0.,0.,0.
61,0.065,0.,0.065,0.066,0.,0.066,0.,0.,0.,0.049,0.,0.049,0.015,0.,0.015,0.017,0.,0.017,0.046,0.,0.046,0.,0.,0.
62,0.068,0.,0.068,0.069,0.,0.069,0.,0.,0.,0.05,0.,0.05,0.016,0.,0.016,0.017,0.,0.017,0.049,0.,0.049,0.,0.,0.
63,0.071,0.,0.071,0.072,0.,0.072,0.,0.,0.,0.051,0.,0.051,0.018,0.,0.018,0.017,0.,0.017,0.053,0.,0.053,0.,0.,0.
64,0.071,0.,0.071,0.074,0.,0.074,0.003,0.,0.003,0.049,0.,0.049,0.017,0.,0.017,0.02,0.,0.02,0.052,0.,0.052,0.,0.,0.
65,0.075,0.,0.075,0.074,0.,0.074,0.,0.,0.,0.054,0.,0.054,0.019,0.,0.019,0.018,0.,0.018,0.053,0.,0.053,0.001,0.,0.001
