param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
1177,,,,0.506,0.003,0.502,,,,,,,,,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,0.,0.041
1208,,,,0.525,0.003,0.521,,,,,,,,,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.,0.029
1239,,,,0.567,0.003,0.563,,,,,,,,,,,,,,,,,,,,,,,
1252,,,,,,,,,,0.06937,0.00019,0.00778,0.00192,0.079,0.,0.012,0.06794,0.00021,0.00781,0.00186,0.078,0.001,0.011,,,,,,
1256,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.,0.03
1261,,,,,,,1.163,0.,1.163,,,,,,,,,,,,,,,,,,,,
1269,,,,0.589,0.,0.589,,,,,,,,,,,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.,0.033
1300,,,,0.608,0.,0.608,,,,,,,,,,,,,,,,,,,,,,,
1331,,,,0.66,0.003,0.656,,,,,,,,,,,,,,,,,,,,,,,
1334,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.,0.034
1351,,,,,,,1.603,0.015,1.587,,,,,,,,,,,,,,,,,,,,
1362,,,,0.69,0.,0.69,,,,,,,,,,,,,,,,,,,,,,,
1365,,,,,,,,,,0.07059,0.00019,0.00911,0.00235,0.082,0.,0.015,0.07800,0.00023,0.00990,0.00214,0.09,0.003,0.011,,,,,,
1370,,,,0.718,0.,0.718,,,,,,,,,,,,,,,,,,,,,,,
1374,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,0.,0.037
1393,,,,0.703,0.,0.703,,,,,,,,,,,,,,,,,,,,,,,
1413,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.,0.039
1424,,,,0.737,0.,0.737,,,,,,,,,,,,,,,,,,,,,,,
1441,,,,,,,1.46,0.,1.46,,,,,,,,,,,,,,,,,,,,
1452,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.,0.055
1454,,,,,,,1.708,0.047,1.654,,,,,,,,,,,,,,,,,,,,
1479,,,,,,,,,,0.06806,0.00019,0.01089,0.00227,0.081,0.004,0.012,0.06935,0.00021,0.00985,0.02295,0.102,0.003,0.031,,,,,,
1491,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.,0.039
1530,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.,0.044
1531,,,,,,,1.727,0.,1.727,,,,,,,,,,,,,,,,,,,,
1566,,,,0.894,0.,0.894,,,,,,,,,,,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.,0.044
1593,,,,,,,,,,0.06810,0.00019,0.01140,0.00243,0.082,0.,0.016,0.06686,0.00021,0.01193,0.00234,0.081,0.003,0.014,,,,,,
1609,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,0.,0.046
1621,,,,,,,1.936,0.,1.936,,,,,,,,,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.,0.05
1687,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,0.,0.052
1706,,,,,,,,,,0.06998,0.00029,0.01392,0.00287,0.087,0.,0.019,0.06665,0.00020,0.01399,0.00251,0.083,0.004,0.015,,,,,,
1709,,,,1.013,0.004,1.009,,,,,,,,,,,,,,,,,,,,,,,
1711,,,,,,,2.45,0.,2.45,,,,,,,,,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.,0.053
1765,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,0.,0.054
1801,,,,,,,2.351,0.031,2.319,,,,,,,,,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,0.,0.081
1820,,,,,,,,,,0.06966,0.00018,0.01809,0.00263,0.09,0.,0.023,0.06926,0.00021,0.01523,0.00279,0.087,0.,0.02,,,,,,
1826,,,,1.192,0.,1.192,,,,,,,,,,,,,,,,,,,,,,,
