param-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,ssr-rewrite!-regression-quadratic-real,ssr-rewrite!-regression-quadratic-sys,ssr-rewrite!-regression-quadratic-user,ssr-rewrite?-noop-regression-linear-real,ssr-rewrite?-noop-regression-linear-sys,ssr-rewrite?-noop-regression-linear-user
28,0.019,0.,0.019,0.006,0.,0.006,0.012,0.,0.012,0.,0.,0.
29,0.033,0.,0.033,0.019,0.,0.019,0.013,0.,0.013,0.,0.,0.
30,0.021,0.,0.021,0.007,0.,0.007,0.013,0.,0.013,0.,0.,0.
31,0.024,0.,0.024,0.008,0.,0.008,0.015,0.,0.015,0.,0.,0.
32,0.024,0.,0.024,0.007,0.,0.007,0.016,0.,0.016,0.,0.,0.
33,0.024,0.,0.024,0.008,0.,0.008,0.015,0.,0.015,0.,0.,0.
34,0.026,0.,0.026,0.009,0.,0.009,0.016,0.,0.016,0.,0.,0.
35,0.042,0.,0.042,0.01,0.,0.01,0.031,0.,0.031,0.,0.,0.
36,0.03,0.,0.03,0.01,0.,0.01,0.019,0.,0.019,0.,0.,0.
37,0.032,0.,0.032,0.011,0.,0.011,0.02,0.,0.02,0.,0.,0.
38,0.032,0.,0.032,0.011,0.,0.011,0.02,0.,0.02,0.,0.,0.
39,0.034,0.,0.034,0.012,0.,0.012,0.021,0.,0.021,0.,0.,0.
40,0.093,0.,0.093,0.07,0.,0.07,0.022,0.,0.022,0.,0.,0.
41,0.038,0.,0.038,0.013,0.,0.013,0.024,0.,0.024,0.,0.,0.
42,0.041,0.,0.041,0.016,0.,0.016,0.024,0.,0.024,0.,0.,0.
43,0.041,0.,0.041,0.015,0.,0.015,0.024,0.,0.024,0.,0.,0.
44,0.073,0.,0.073,0.015,0.,0.015,0.057,0.,0.057,0.,0.,0.
45,0.047,0.,0.047,0.016,0.,0.016,0.027,0.,0.027,0.,0.,0.
46,0.047,0.,0.047,0.016,0.,0.016,0.029,0.,0.029,0.,0.,0.
47,0.049,0.,0.049,0.018,0.,0.018,0.03,0.,0.03,0.,0.,0.
48,0.052,0.,0.052,0.019,0.,0.019,0.032,0.,0.032,0.,0.,0.
49,0.051,0.,0.051,0.018,0.,0.018,0.032,0.,0.032,0.,0.,0.
50,0.118,0.027,0.091,0.076,0.011,0.064,0.042,0.015,0.026,0.,0.,0.
51,0.058,0.,0.058,0.022,0.,0.022,0.034,0.,0.034,0.,0.,0.
52,0.058,0.,0.058,0.022,0.,0.022,0.035,0.,0.035,0.,0.,0.
53,0.06,0.,0.06,0.023,0.,0.023,0.035,0.,0.035,0.,0.,0.
