param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
68,68,1,,,,,,,,,,,,,,,,,0.013,0.,0.013,,,,,,,,,,,,
72,8,9,0.005,0.,0.005,,,,,,,0.07895,0.00025,0.00080,0.00034,0.08,0.003,0.001,0.007,0.,0.007,0.,0.,0.,,,,,,,,,
74,1,74,0.032,0.,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,1,0.031,0.,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,78,,,,,,,,,,0.07646,0.00023,0.00080,0.00035,0.078,0.,0.004,,,,0.,0.,0.,,,,,,,,,
78,78,1,,,,,,,,,,0.07826,0.00023,0.00083,0.00045,0.079,0.004,0.,,,,0.,0.,0.,,,,,,,,,
79,1,79,,,,,,,,,,,,,,,,,0.034,0.,0.034,,,,,,,,,,,,
79,79,1,,,,,,,,,,,,,,,,,0.015,0.,0.015,,,,,,,,,,,,
80,1,80,0.035,0.,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,1,0.022,0.,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,86,0.036,0.,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,1,0.022,0.,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,89,,,,,,,,,,,,,,,,,0.04,0.,0.04,,,,,,,,,,,,
89,89,1,,,,,,,,,,,,,,,,,0.018,0.,0.018,,,,,,,,,,,,
90,9,10,0.021,0.,0.021,,,,,,,,,,,,,,0.008,0.,0.008,,,,,,,,,,,,
92,1,92,0.038,0.,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,1,0.026,0.,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,98,0.051,0.,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,1,0.036,0.,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,99,,,,,,,,,,,,,,,,,0.049,0.,0.049,,,,,,,,,,,,
99,99,1,,,,,,,,,,,,,,,,,0.023,0.,0.023,,,,,,,,,,,,
104,1,104,0.054,0.,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,1,0.103,0.003,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,110,0.061,0.,0.061,,,,,,,,,,,,,,0.058,0.,0.058,,,,,,,,,,,,
110,10,11,0.008,0.,0.008,,,,,,,0.07800,0.00024,0.00077,0.00098,0.08,0.003,0.001,0.01,0.,0.01,0.,0.,0.,,,,,,,,,
110,110,1,0.039,0.,0.039,,,,,,,,,,,,,,0.038,0.,0.038,,,,,,,,,,,,
114,1,114,,,,,,,,,,0.07839,0.00023,0.00129,0.00044,0.08,0.003,0.001,,,,0.,0.,0.,,,,,,,,,
114,114,1,,,,,,,,,,0.08058,0.00024,0.00129,0.00056,0.082,0.003,0.001,,,,0.,0.,0.,,,,,,,,,
117,1,117,0.095,0.,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,1,0.042,0.,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,120,,,,,,,,,,,,,,,,,0.064,0.,0.064,,,,,,,,,,,,
120,120,1,,,,,,,,,,,,,,,,,0.029,0.,0.029,,,,,,,,,,,,
122,1,122,,,,0.,0.,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
122,122,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
123,1,123,0.065,0.,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,1,0.056,0.,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,129,0.076,0.,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,1,0.057,0.,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,131,,,,,,,,,,,,,,,,,0.079,0.002,0.076,,,,,,,,,,,,
131,131,1,,,,,,,,,,,,,,,,,0.04,0.,0.04,,,,,,,,,,,,
132,11,12,0.01,0.,0.01,0.,0.,0.,0.,0.,0.,,,,,,,,0.011,0.,0.011,,,,,,,,,,,,
135,1,135,0.082,0.,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,1,0.057,0.,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,141,,,,,,,,,,,,,,,,,0.102,0.,0.102,,,,,,,,,,,,
141,141,1,,,,,,,,,,,,,,,,,0.04,0.,0.04,,,,,,,,,,,,
150,1,150,,,,,,,,,,0.07826,0.00024,0.00078,0.00110,0.08,0.,0.005,,,,0.001,0.,0.001,,,,,,,,,
150,150,1,,,,,,,,,,0.07662,0.00023,0.00127,0.00069,0.078,0.003,0.002,,,,0.001,0.,0.001,,,,,,,,,
151,1,151,,,,,,,,,,,,,,,,,0.095,0.,0.095,,,,,,,,,,,,
151,151,1,,,,,,,,,,,,,,,,,0.046,0.,0.046,,,,,,,,,,,,
156,12,13,0.01,0.,0.01,,,,,,,0.07707,0.00023,0.00076,0.00116,0.079,0.005,0.,0.014,0.,0.014,0.,0.,0.,,,,,,,,,
157,1,157,0.094,0.,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,1,0.066,0.,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1,162,,,,,,,,,,,,,,,,,0.11,0.,0.109,,,,,,,,,,,,
162,162,1,,,,,,,,,,,,,,,,,0.054,0.,0.054,,,,,,,,,,,,
172,1,172,,,,,,,,,,,,,,,,,0.118,0.,0.118,,,,,,,,,,,,
172,172,1,,,,,,,,,,,,,,,,,0.119,0.,0.119,,,,,,,,,,,,
180,1,180,0.123,0.,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,1,0.084,0.003,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1,181,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
181,181,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
182,1,182,,,,,,,,,,,,,,,,,0.139,0.,0.139,,,,,,,,,,,,
182,13,14,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,0.07620,0.00023,0.00076,0.06186,0.139,0.016,0.049,0.017,0.,0.017,0.,0.,0.,,,,,,,,,
182,182,1,,,,,,,,,,,,,,,,,0.058,0.,0.058,,,,,,,,,,,,
185,1,185,,,,,,,,,,0.08261,0.00025,0.00071,0.00069,0.084,0.004,0.001,,,,0.001,0.,0.,,,,,,,,,
185,185,1,,,,,,,,,,0.07621,0.00024,0.00079,0.00095,0.078,0.003,0.001,,,,0.001,0.,0.001,,,,,,,,,
193,1,193,,,,,,,,,,,,,,,,,0.175,0.,0.175,,,,,,,,,,,,
193,193,1,,,,,,,,,,,,,,,,,0.076,0.,0.076,,,,,,,,,,,,
202,1,202,0.161,0.,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,202,1,0.124,0.,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1,203,,,,,,,,,,,,,,,,,0.139,0.,0.139,,,,,,,,,,,,
