param-n,autorewrite-noop-regression-quadratic-real,autorewrite-noop-regression-quadratic-sys,autorewrite-noop-regression-quadratic-user,try-rewrite!-evar-noop-regression-quadratic-real,try-rewrite!-evar-noop-regression-quadratic-sys,try-rewrite!-evar-noop-regression-quadratic-user,try-rewrite!-noop-regression-quadratic-real,try-rewrite!-noop-regression-quadratic-sys,try-rewrite!-noop-regression-quadratic-user,try-rewrite-evar-noop-regression-quadratic-real,try-rewrite-evar-noop-regression-quadratic-sys,try-rewrite-evar-noop-regression-quadratic-user,try-rewrite-noop-regression-quadratic-real,try-rewrite-noop-regression-quadratic-sys,try-rewrite-noop-regression-quadratic-user,try-rewrite?-evar-noop-regression-quadratic-real,try-rewrite?-evar-noop-regression-quadratic-sys,try-rewrite?-evar-noop-regression-quadratic-user,try-rewrite?-noop-regression-quadratic-real,try-rewrite?-noop-regression-quadratic-sys,try-rewrite?-noop-regression-quadratic-user,try-ssr-rewrite!-evar-noop-regression-linear-real,try-ssr-rewrite!-evar-noop-regression-linear-sys,try-ssr-rewrite!-evar-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-evar-noop-regression-linear-real,try-ssr-rewrite-evar-noop-regression-linear-sys,try-ssr-rewrite-evar-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-evar-noop-regression-linear-real,try-ssr-rewrite?-evar-noop-regression-linear-sys,try-ssr-rewrite?-evar-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
768,0.019,0.,0.019,0.032,0.,0.032,0.019,0.,0.019,0.033,0.,0.033,0.02,0.,0.02,0.032,0.,0.032,0.019,0.,0.019,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
772,0.021,0.,0.021,0.035,0.,0.035,0.019,0.,0.019,0.035,0.,0.035,0.02,0.,0.02,0.035,0.,0.035,0.019,0.,0.019,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
776,0.019,0.,0.019,0.034,0.,0.034,0.019,0.,0.019,0.034,0.,0.034,0.019,0.,0.019,0.035,0.003,0.031,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
780,0.019,0.,0.019,0.034,0.,0.034,0.02,0.,0.02,0.035,0.,0.035,0.019,0.,0.019,0.035,0.,0.035,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
784,0.02,0.,0.02,0.036,0.,0.036,0.02,0.,0.02,0.036,0.,0.036,0.02,0.,0.02,0.035,0.,0.035,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
788,0.02,0.,0.02,0.036,0.,0.036,0.02,0.,0.02,0.036,0.,0.036,0.02,0.,0.02,0.035,0.,0.035,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
792,0.02,0.,0.02,0.034,0.,0.034,0.02,0.,0.02,0.034,0.,0.034,0.021,0.,0.021,0.035,0.,0.035,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
796,0.02,0.,0.02,0.035,0.,0.035,0.021,0.,0.021,0.035,0.,0.035,0.02,0.,0.02,0.035,0.,0.035,0.021,0.,0.021,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
800,0.021,0.,0.021,0.035,0.,0.035,0.021,0.,0.021,0.036,0.,0.036,0.021,0.,0.021,0.035,0.,0.035,0.021,0.,0.021,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
804,0.021,0.,0.021,0.037,0.,0.037,0.021,0.,0.021,0.037,0.,0.037,0.021,0.,0.021,0.038,0.,0.038,0.021,0.,0.021,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
808,0.021,0.,0.021,0.036,0.,0.036,0.021,0.,0.021,0.036,0.,0.036,0.021,0.,0.021,0.037,0.,0.037,0.021,0.,0.021,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
812,0.021,0.,0.021,0.035,0.,0.035,0.021,0.,0.021,0.037,0.,0.037,0.021,0.,0.021,0.035,0.,0.035,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
816,0.021,0.,0.021,0.037,0.,0.037,0.022,0.,0.022,0.039,0.,0.039,0.021,0.,0.021,0.039,0.,0.039,0.021,0.,0.021,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
820,0.021,0.,0.021,0.036,0.,0.036,0.022,0.,0.022,0.036,0.,0.036,0.021,0.,0.021,0.036,0.,0.036,0.021,0.,0.021,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
824,0.022,0.,0.022,0.038,0.,0.038,0.022,0.,0.022,0.038,0.,0.038,0.022,0.,0.022,0.038,0.,0.038,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
828,0.022,0.,0.022,0.037,0.,0.037,0.022,0.,0.022,0.036,0.,0.036,0.022,0.,0.022,0.036,0.,0.036,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
832,0.022,0.,0.022,0.038,0.,0.038,0.024,0.,0.024,0.038,0.,0.038,0.022,0.,0.022,0.038,0.,0.038,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
836,0.022,0.,0.022,0.038,0.,0.038,0.022,0.,0.022,0.037,0.,0.037,0.022,0.,0.022,0.038,0.,0.038,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
840,0.022,0.,0.022,0.039,0.,0.039,0.022,0.,0.022,0.039,0.,0.039,0.022,0.,0.022,0.04,0.,0.04,0.023,0.,0.023,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
844,0.022,0.,0.022,0.039,0.,0.039,0.022,0.,0.022,0.04,0.,0.04,0.023,0.,0.023,0.039,0.,0.039,0.023,0.,0.023,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
848,0.023,0.,0.023,0.039,0.,0.039,0.023,0.,0.023,0.039,0.,0.039,0.023,0.,0.023,0.039,0.,0.039,0.023,0.,0.023,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
852,0.023,0.,0.023,0.04,0.,0.04,0.023,0.,0.023,0.04,0.,0.04,0.023,0.,0.023,0.04,0.,0.04,0.023,0.,0.023,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
856,0.024,0.,0.024,0.039,0.,0.039,0.023,0.,0.023,0.039,0.,0.039,0.023,0.,0.023,0.039,0.,0.039,0.023,0.,0.023,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
860,0.024,0.,0.024,0.04,0.,0.04,0.024,0.,0.024,0.039,0.,0.039,0.023,0.,0.023,0.041,0.,0.041,0.024,0.,0.024,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
864,0.024,0.,0.024,0.04,0.,0.04,0.024,0.,0.024,0.04,0.,0.04,0.024,0.,0.024,0.04,0.,0.04,0.024,0.,0.024,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
868,0.024,0.,0.024,0.042,0.,0.042,0.024,0.,0.024,0.042,0.,0.042,0.026,0.,0.026,0.042,0.,0.042,0.024,0.,0.024,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
872,0.024,0.,0.024,0.04,0.,0.04,0.024,0.,0.024,0.039,0.,0.039,0.024,0.,0.024,0.039,0.,0.039,0.024,0.,0.024,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
876,0.024,0.,0.024,0.042,0.,0.042,0.024,0.,0.024,0.042,0.,0.042,0.024,0.,0.024,0.043,0.,0.043,0.024,0.,0.024,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
880,0.024,0.,0.024,0.041,0.,0.041,0.024,0.,0.024,0.042,0.,0.042,0.025,0.,0.025,0.041,0.,0.041,0.024,0.,0.024,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
884,0.024,0.,0.024,0.041,0.,0.041,0.025,0.,0.025,0.041,0.,0.041,0.024,0.,0.024,0.04,0.,0.04,0.024,0.,0.024,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
888,0.025,0.,0.025,0.04,0.,0.04,0.025,0.,0.025,0.04,0.,0.04,0.025,0.,0.025,0.041,0.,0.041,0.025,0.,0.025,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
892,0.025,0.,0.025,0.043,0.,0.043,0.025,0.,0.025,0.043,0.,0.043,0.025,0.,0.025,0.042,0.,0.042,0.025,0.,0.025,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
896,0.025,0.,0.025,0.042,0.,0.042,0.025,0.,0.025,0.042,0.,0.042,0.025,0.,0.025,0.042,0.,0.042,0.025,0.,0.025,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
900,0.025,0.,0.025,0.045,0.,0.045,0.025,0.,0.025,0.046,0.,0.046,0.025,0.,0.025,0.046,0.,0.046,0.026,0.,0.026,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
904,0.025,0.,0.025,0.042,0.,0.042,0.026,0.,0.026,0.045,0.,0.045,0.025,0.,0.025,0.045,0.,0.045,0.026,0.,0.026,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
908,0.026,0.,0.026,0.042,0.,0.042,0.026,0.,0.026,0.042,0.,0.042,0.026,0.,0.026,0.043,0.,0.043,0.026,0.,0.026,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
912,0.026,0.,0.026,0.044,0.,0.044,0.026,0.,0.026,0.044,0.,0.044,0.026,0.,0.026,0.044,0.,0.044,0.026,0.,0.026,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
