param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
140,0.399,0.,0.399,0.214,0.004,0.21,0.14,0.,0.14,0.089,0.,0.089,0.257,0.,0.257,0.001,0.,0.001,0.122,0.003,0.118,0.001,0.,0.001
150,0.461,0.,0.461,0.266,0.,0.266,0.168,0.,0.168,0.114,0.,0.114,0.291,0.,0.291,0.001,0.,0.001,0.149,0.,0.149,0.001,0.,0.001
160,0.492,0.,0.492,0.282,0.,0.282,0.161,0.,0.161,0.124,0.,0.124,0.328,0.,0.328,0.001,0.,0.001,0.155,0.,0.155,0.001,0.,0.001
170,0.567,0.,0.567,0.353,0.,0.353,0.185,0.,0.185,0.156,0.,0.156,0.379,0.,0.379,0.002,0.,0.002,0.194,0.,0.194,0.002,0.,0.002
180,0.673,0.,0.672,0.386,0.,0.386,0.238,0.,0.238,0.175,0.,0.175,0.43,0.,0.43,0.002,0.,0.002,0.208,0.,0.208,0.002,0.,0.002
190,0.747,0.,0.747,0.417,0.,0.417,0.251,0.,0.251,0.177,0.,0.177,0.492,0.,0.492,0.002,0.,0.002,0.236,0.,0.236,0.002,0.,0.002
200,0.824,0.007,0.817,0.51,0.003,0.506,0.243,0.003,0.239,0.205,0.,0.205,0.538,0.003,0.534,0.042,0.,0.042,0.301,0.003,0.297,0.002,0.,0.002
210,0.872,0.,0.872,0.486,0.,0.486,0.273,0.,0.273,0.202,0.,0.202,0.595,0.,0.595,0.002,0.,0.002,0.279,0.,0.279,0.002,0.,0.002
220,0.961,0.,0.961,0.566,0.,0.566,0.301,0.,0.301,0.223,0.,0.223,0.656,0.,0.656,0.003,0.,0.002,0.338,0.,0.338,0.003,0.,0.003
230,1.094,0.,1.094,0.658,0.,0.658,0.368,0.,0.368,0.277,0.,0.277,0.721,0.,0.721,0.003,0.,0.003,0.377,0.,0.377,0.003,0.,0.003
240,1.173,0.,1.173,0.652,0.,0.652,0.355,0.,0.355,0.25,0.,0.25,0.813,0.,0.813,0.003,0.,0.003,0.397,0.,0.397,0.003,0.,0.003
250,1.263,0.,1.263,0.71,0.,0.71,0.408,0.,0.408,0.279,0.,0.279,0.851,0.,0.851,0.003,0.,0.003,0.426,0.,0.426,0.003,0.,0.003
260,1.36,0.,1.36,0.924,0.003,0.92,0.415,0.,0.415,0.428,0.003,0.424,0.94,0.,0.94,0.003,0.,0.003,0.489,0.,0.489,0.004,0.,0.004
270,1.524,0.,1.524,0.906,0.,0.906,0.489,0.,0.489,0.382,0.,0.382,1.03,0.,1.03,0.004,0.,0.004,0.518,0.,0.517,0.004,0.,0.004
280,1.637,0.,1.637,0.874,0.,0.874,0.48,0.,0.48,0.344,0.,0.344,1.151,0.,1.151,0.004,0.,0.004,0.524,0.,0.524,0.004,0.,0.004
290,1.849,0.,1.849,1.015,0.,1.015,0.598,0.,0.598,0.422,0.,0.422,1.245,0.,1.245,0.004,0.,0.004,0.586,0.,0.586,0.004,0.,0.004
300,1.94,0.016,1.924,1.079,0.,1.079,0.551,0.003,0.547,0.464,0.,0.464,1.383,0.011,1.371,0.005,0.,0.005,0.609,0.,0.609,0.005,0.,0.005
310,2.034,0.007,2.026,1.149,0.,1.149,0.594,0.003,0.59,0.433,0.,0.433,1.433,0.003,1.429,0.005,0.,0.005,0.709,0.,0.709,0.005,0.,0.005
320,2.273,0.003,2.268,1.292,0.,1.292,0.7,0.,0.7,0.511,0.,0.511,1.559,0.003,1.554,0.012,0.,0.012,0.766,0.,0.766,0.012,0.,0.012
330,2.365,0.003,2.361,1.295,0.003,1.291,0.668,0.,0.668,0.487,0.003,0.483,1.689,0.003,1.685,0.005,0.,0.005,0.8,0.,0.8,0.005,0.,0.005
340,2.69,0.,2.689,1.33,0.004,1.326,0.767,0.,0.767,0.512,0.004,0.508,1.915,0.,1.914,0.006,0.,0.006,0.804,0.,0.804,0.011,0.,0.011
350,2.701,0.004,2.697,1.436,0.003,1.432,0.723,0.,0.723,0.546,0.003,0.542,1.964,0.004,1.96,0.012,0.,0.012,0.882,0.,0.882,0.006,0.,0.006
360,2.825,0.,2.825,1.63,0.,1.63,0.83,0.,0.83,0.648,0.,0.648,1.986,0.,1.986,0.006,0.,0.006,0.973,0.,0.973,0.007,0.,0.007
370,3.003,0.,3.002,1.649,0.,1.649,0.836,0.,0.836,0.606,0.,0.606,2.158,0.,2.157,0.006,0.,0.006,1.033,0.,1.033,0.007,0.,0.007
380,3.258,0.,3.258,1.79,0.,1.79,0.878,0.,0.878,0.695,0.,0.695,2.371,0.,2.371,0.007,0.,0.007,1.079,0.,1.079,0.014,0.,0.014
390,3.572,0.,3.572,1.887,0.007,1.879,0.962,0.,0.962,0.687,0.,0.687,2.601,0.,2.601,0.007,0.,0.007,1.183,0.007,1.175,0.008,0.,0.008
400,3.745,0.,3.745,2.025,0.004,2.021,1.006,0.,1.006,0.692,0.,0.692,2.73,0.,2.729,0.007,0.,0.007,1.323,0.003,1.319,0.008,0.,0.008
