param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
100,0.166,0.,0.166,0.088,0.,0.088,0.031,0.,0.031,0.019,0.,0.019,0.133,0.,0.133,0.,0.,0.,0.066,0.,0.066,0.002,0.,0.002
110,0.177,0.,0.177,0.093,0.,0.093,0.038,0.,0.038,0.025,0.,0.025,0.137,0.,0.137,0.,0.,0.,0.066,0.,0.066,0.,0.,0.
120,0.227,0.,0.227,0.119,0.,0.119,0.049,0.,0.049,0.032,0.,0.032,0.176,0.,0.176,0.,0.,0.,0.085,0.,0.085,0.,0.,0.
130,0.261,0.,0.261,0.137,0.,0.137,0.06,0.,0.06,0.037,0.,0.037,0.199,0.,0.199,0.,0.,0.,0.097,0.,0.097,0.,0.,0.
140,0.294,0.003,0.29,0.164,0.003,0.16,0.058,0.003,0.054,0.046,0.,0.046,0.234,0.,0.234,0.,0.,0.,0.116,0.003,0.112,0.,0.,0.
150,0.426,0.,0.426,0.177,0.,0.177,0.066,0.,0.066,0.052,0.,0.052,0.358,0.,0.358,0.,0.,0.,0.124,0.,0.124,0.,0.,0.
160,0.403,0.004,0.399,0.199,0.003,0.195,0.082,0.,0.082,0.055,0.003,0.051,0.319,0.003,0.315,0.,0.,0.,0.142,0.,0.142,0.,0.,0.
170,0.414,0.007,0.406,0.236,0.,0.236,0.082,0.,0.082,0.067,0.,0.067,0.33,0.007,0.322,0.,0.,0.,0.167,0.,0.167,0.,0.,0.
180,0.482,0.,0.482,0.251,0.,0.251,0.093,0.,0.093,0.066,0.,0.066,0.387,0.,0.387,0.001,0.,0.001,0.183,0.,0.183,0.,0.,0.
190,0.534,0.,0.534,0.268,0.003,0.264,0.114,0.,0.114,0.071,0.,0.071,0.417,0.,0.417,0.001,0.,0.001,0.194,0.003,0.19,0.001,0.,0.
200,0.686,0.003,0.682,0.4,0.003,0.396,0.129,0.,0.129,0.084,0.,0.084,0.555,0.003,0.552,0.001,0.,0.,0.314,0.003,0.31,0.001,0.,0.001
210,0.712,0.,0.712,0.347,0.007,0.339,0.135,0.,0.135,0.086,0.,0.086,0.574,0.,0.574,0.001,0.,0.001,0.258,0.007,0.25,0.001,0.,0.001
220,0.692,0.007,0.684,0.357,0.,0.357,0.137,0.,0.137,0.103,0.,0.103,0.552,0.007,0.544,0.001,0.,0.001,0.251,0.,0.251,0.001,0.,0.001
230,0.749,0.,0.749,0.416,0.003,0.412,0.145,0.,0.145,0.116,0.003,0.113,0.602,0.,0.602,0.001,0.,0.001,0.297,0.,0.297,0.001,0.,0.001
240,0.922,0.,0.922,0.474,0.004,0.47,0.17,0.,0.17,0.113,0.,0.113,0.749,0.,0.749,0.001,0.,0.001,0.358,0.003,0.354,0.001,0.,0.001
250,0.97,0.003,0.966,0.56,0.003,0.556,0.175,0.,0.175,0.126,0.,0.126,0.793,0.003,0.789,0.001,0.,0.001,0.432,0.003,0.428,0.001,0.,0.001
260,1.013,0.,1.013,0.51,0.,0.51,0.189,0.,0.189,0.135,0.,0.135,0.821,0.,0.821,0.001,0.,0.001,0.372,0.,0.372,0.001,0.,0.001
270,1.17,0.,1.17,0.565,0.,0.565,0.208,0.,0.208,0.153,0.,0.153,0.959,0.,0.959,0.001,0.,0.001,0.406,0.,0.406,0.005,0.,0.005
280,1.168,0.,1.168,0.611,0.,0.611,0.235,0.,0.235,0.167,0.,0.167,0.93,0.,0.93,0.001,0.,0.001,0.441,0.,0.441,0.001,0.,0.001
290,1.254,0.,1.254,0.646,0.,0.646,0.233,0.,0.233,0.178,0.,0.178,1.018,0.,1.017,0.001,0.,0.001,0.466,0.,0.466,0.001,0.,0.001
300,1.364,0.004,1.36,0.726,0.,0.725,0.269,0.,0.269,0.191,0.,0.191,1.092,0.004,1.088,0.001,0.,0.001,0.532,0.,0.532,0.001,0.,0.001
