param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,autorewrite-regression-cubic-sys,autorewrite-regression-cubic-user,rewrite!-regression-cubic-real,rewrite!-regression-cubic-sys,rewrite!-regression-cubic-user,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-sys,rewrite-strat(bottomup)-regression-cubic-user,rewrite-strat(topdown)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-sys,rewrite-strat(topdown)-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user,ssr-rewrite!-regression-cubic-real,ssr-rewrite!-regression-cubic-sys,ssr-rewrite!-regression-cubic-user
38,0,38,79,3,38,,,,,,,0.018,0.,0.018,0.006,0.,0.006,,,,,,
39,0,39,81,3,39,,,,,,,0.02,0.,0.02,0.006,0.,0.006,,,,,,
39,1,13,85,7,39,0.003,0.,0.003,0.003,0.,0.003,0.02,0.,0.02,0.005,0.,0.005,0.013,0.,0.013,0.005,0.,0.005
40,0,40,83,3,40,0.005,0.,0.005,,,,0.02,0.,0.02,0.007,0.,0.007,0.016,0.,0.016,0.006,0.,0.006
41,0,41,85,3,41,,,,,,,0.052,0.,0.052,0.006,0.,0.006,,,,,,
42,0,42,87,3,42,,,,,,,0.021,0.,0.021,0.007,0.,0.007,,,,,,
42,1,14,91,7,42,,,,,,,0.022,0.,0.022,0.006,0.,0.006,0.014,0.,0.014,,,
42,2,6,99,15,42,0.003,0.,0.003,0.003,0.,0.003,0.021,0.,0.021,0.005,0.,0.005,0.013,0.,0.013,0.004,0.,0.004
43,0,43,89,3,43,0.006,0.,0.006,0.052,0.003,0.048,0.022,0.,0.021,0.007,0.,0.007,0.018,0.,0.018,0.007,0.,0.007
44,0,44,91,3,44,,,,,,,0.041,0.,0.041,0.012,0.,0.012,,,,,,
45,0,45,93,3,45,,,,,,,0.025,0.,0.025,0.008,0.,0.008,,,,,,
45,1,15,97,7,45,0.004,0.,0.004,0.004,0.,0.004,0.025,0.,0.025,0.007,0.,0.007,0.016,0.,0.016,0.006,0.,0.006
45,3,3,121,31,45,0.003,0.,0.003,0.003,0.001,0.002,0.066,0.003,0.062,0.006,0.,0.006,0.059,0.007,0.052,0.003,0.,0.002
46,0,46,95,3,46,0.006,0.,0.006,,,,0.026,0.,0.026,0.008,0.,0.008,0.02,0.,0.02,0.023,0.,0.023
47,0,47,97,3,47,,,,,,,0.027,0.,0.027,0.009,0.,0.009,,,,,,
48,0,48,99,3,48,,,,,,,0.028,0.,0.027,0.008,0.,0.008,,,,,,
48,1,16,103,7,48,,,,,,,0.028,0.,0.028,0.007,0.,0.007,0.018,0.,0.018,,,
49,0,49,101,3,49,0.023,0.,0.023,0.007,0.,0.007,0.028,0.,0.027,0.016,0.,0.016,0.021,0.,0.021,0.009,0.,0.009
49,2,7,113,15,49,0.003,0.,0.003,0.003,0.,0.003,0.027,0.,0.027,0.007,0.,0.007,0.015,0.,0.015,0.005,0.,0.005
50,0,50,103,3,50,,,,,,,0.035,0.,0.035,0.009,0.,0.009,,,,,,
51,0,51,105,3,51,,,,,,,0.031,0.,0.031,0.009,0.,0.009,,,,,,
51,1,17,109,7,51,0.006,0.,0.006,0.005,0.,0.005,0.03,0.,0.03,0.008,0.,0.008,0.019,0.,0.019,0.007,0.,0.007
52,0,52,107,3,52,0.008,0.,0.008,,,,0.031,0.,0.031,0.01,0.,0.01,0.028,0.,0.028,0.01,0.,0.01
53,0,53,109,3,53,,,,,,,0.04,0.,0.04,0.01,0.,0.01,,,,,,
54,0,54,111,3,54,,,,,,,0.034,0.,0.034,0.013,0.,0.013,,,,,,
54,1,18,115,7,54,,,,,,,0.034,0.,0.034,0.01,0.,0.01,0.021,0.,0.021,,,
55,0,55,113,3,55,0.008,0.,0.008,0.009,0.,0.009,0.036,0.,0.036,0.011,0.,0.011,0.026,0.,0.026,0.012,0.,0.012
56,0,56,115,3,56,,,,,,,0.105,0.,0.105,0.011,0.,0.011,,,,,,
56,2,8,127,15,56,0.005,0.,0.005,0.004,0.,0.004,0.037,0.,0.037,0.011,0.,0.011,0.019,0.,0.019,0.006,0.,0.006
57,0,57,117,3,57,,,,,,,0.041,0.,0.04,0.069,0.,0.069,,,,,,
57,1,19,121,7,57,0.006,0.,0.006,0.006,0.,0.006,0.037,0.,0.037,0.01,0.,0.01,0.023,0.,0.023,0.009,0.,0.009
58,0,58,119,3,58,0.01,0.,0.01,,,,0.072,0.,0.072,0.012,0.,0.012,0.034,0.,0.034,0.011,0.,0.011
59,0,59,121,3,59,,,,,,,0.044,0.001,0.043,0.013,0.,0.013,,,,,,
60,0,60,123,3,60,,,,,,,0.047,0.,0.047,0.013,0.,0.013,,,,,,
60,1,20,127,7,60,,,,,,,0.041,0.,0.041,0.011,0.,0.011,0.024,0.,0.024,,,
60,3,4,151,31,60,0.003,0.,0.003,0.004,0.,0.004,0.051,0.,0.051,0.012,0.,0.012,0.018,0.,0.018,0.005,0.001,0.004
61,0,61,125,3,61,0.01,0.,0.01,0.01,0.,0.01,0.046,0.,0.045,0.044,0.,0.044,0.03,0.,0.03,0.013,0.,0.013
62,0,62,127,3,62,,,,,,,0.043,0.,0.043,0.015,0.,0.015,,,,,,
62,4,2,187,63,62,0.003,0.,0.003,0.002,0.,0.002,0.038,0.,0.038,0.012,0.,0.012,0.017,0.,0.017,0.003,0.,0.002
63,0,63,129,3,63,,,,,,,0.047,0.,0.047,0.015,0.,0.015,,,,,,
63,1,21,133,7,63,0.007,0.,0.007,0.007,0.,0.007,0.045,0.,0.045,0.012,0.,0.012,0.027,0.,0.027,0.011,0.,0.011
63,2,9,141,15,63,0.005,0.,0.005,0.005,0.,0.005,0.043,0.,0.043,0.01,0.,0.01,0.023,0.,0.023,0.007,0.,0.007
63,5,1,253,127,63,0.003,0.,0.003,0.002,0.,0.002,0.098,0.,0.098,0.012,0.,0.012,0.019,0.,0.019,0.003,0.,0.003
64,0,64,131,3,64,0.011,0.,0.011,,,,0.051,0.,0.05,0.032,0.,0.032,0.033,0.,0.033,0.014,0.,0.014
65,0,65,133,3,65,,,,,,,0.047,0.,0.047,0.015,0.,0.015,,,,,,
66,0,66,135,3,66,,,,,,,0.05,0.,0.05,0.016,0.,0.016,,,,,,
66,1,22,139,7,66,,,,,,,0.048,0.,0.048,0.014,0.,0.014,0.028,0.,0.028,,,
67,0,67,137,3,67,0.011,0.,0.011,0.027,0.,0.027,0.05,0.,0.05,0.016,0.,0.016,0.095,0.001,0.093,0.015,0.,0.015
68,0,68,139,3,68,,,,,,,,,,0.016,0.,0.016,,,,,,
69,0,69,141,3,69,,,,,,,,,,0.018,0.,0.018,,,,,,
69,1,23,145,7,69,0.008,0.,0.008,0.009,0.,0.009,0.056,0.,0.056,0.014,0.,0.014,0.031,0.,0.031,0.012,0.,0.012
70,0,70,143,3,70,0.012,0.,0.012,,,,,,,0.017,0.,0.017,0.068,0.,0.068,0.017,0.,0.017
70,2,10,155,15,70,0.006,0.,0.006,0.006,0.,0.006,0.056,0.,0.056,0.012,0.,0.012,0.027,0.,0.027,0.008,0.,0.008
71,0,71,145,3,71,,,,,,,,,,0.023,0.,0.023,,,,,,
72,0,72,147,3,72,,,,,,,,,,0.019,0.,0.019,,,,,,
72,1,24,151,7,72,,,,,,,,,,0.015,0.,0.014,0.034,0.,0.034,,,
73,0,73,149,3,73,0.013,0.,0.013,0.014,0.,0.014,,,,0.026,0.,0.026,0.057,0.,0.057,0.017,0.,0.017
74,0,74,151,3,74,,,,,,,0.061,0.,0.061,0.019,0.,0.019,,,,,,
75,0,75,153,3,75,,,,,,,,,,0.019,0.,0.019,,,,,,
75,1,25,157,7,75,0.01,0.,0.01,0.01,0.,0.01,,,,0.016,0.,0.016,0.035,0.,0.035,0.016,0.,0.016
75,3,5,181,31,75,0.005,0.,0.005,0.006,0.001,0.005,0.056,0.,0.055,0.012,0.,0.012,0.039,0.,0.039,0.007,0.002,0.004
76,0,76,155,3,76,0.015,0.,0.015,,,,,,,0.021,0.,0.021,0.043,0.,0.043,0.023,0.,0.023
77,0,77,157,3,77,,,,,,,,,,0.079,0.,0.079,,,,,,
77,2,11,169,15,77,0.007,0.,0.007,0.007,0.,0.007,,,,0.015,0.,0.015,0.031,0.,0.031,0.01,0.,0.01
78,0,78,159,3,78,,,,,,,,,,0.021,0.,0.021,,,,,,
78,1,26,163,7,78,,,,,,,0.067,0.,0.067,0.018,0.,0.018,0.038,0.,0.038,,,
79,0,79,161,3,79,0.016,0.,0.016,0.016,0.,0.016,,,,0.021,0.,0.02,0.047,0.,0.046,0.022,0.,0.022
80,0,80,163,3,80,,,,,,,,,,0.056,0.,0.056,,,,,,
81,0,81,165,3,81,,,,,,,0.071,0.,0.07,0.023,0.,0.023,,,,,,
81,1,27,169,7,81,0.011,0.,0.011,0.011,0.,0.011,,,,0.019,0.,0.019,0.041,0.,0.041,0.016,0.,0.016
82,0,82,167,3,82,0.021,0.,0.021,,,,,,,0.037,0.,0.037,0.055,0.,0.055,0.022,0.,0.022
83,0,83,169,3,83,,,,,,,,,,0.026,0.,0.026,,,,,,
84,0,84,171,3,84,,,,,,,,,,0.024,0.,0.024,,,,,,
84,1,28,175,7,84,,,,,,,,,,0.021,0.,0.021,0.042,0.,0.042,,,
84,2,12,183,15,84,0.008,0.,0.008,0.008,0.,0.008,0.081,0.,0.081,0.017,0.,0.017,0.036,0.,0.036,0.011,0.,0.011
85,0,85,173,3,85,0.017,0.,0.017,0.018,0.,0.018,,,,0.026,0.,0.026,0.058,0.,0.058,0.03,0.,0.03
86,0,86,175,3,86,,,,,,,,,,0.025,0.,0.025,,,,,,
87,0,87,177,3,87,,,,,,,,,,0.028,0.,0.028,,,,,,
87,1,29,181,7,87,0.012,0.,0.012,0.013,0.,0.013,0.091,0.,0.091,0.021,0.,0.021,0.044,0.,0.044,0.019,0.,0.019
88,0,88,179,3,88,0.019,0.,0.019,,,,0.087,0.,0.086,0.026,0.,0.026,0.116,0.,0.116,0.025,0.,0.025
89,0,89,181,3,89,,,,,,,,,,0.028,0.,0.028,,,,,,
90,0,90,183,3,90,,,,,,,,,,0.028,0.,0.028,,,,,,
90,1,30,187,7,90,,,,,,,,,,0.023,0.,0.023,0.047,0.,0.047,,,
90,3,6,211,31,90,0.006,0.,0.006,0.052,0.002,0.049,0.076,0.,0.076,0.019,0.,0.019,0.033,0.,0.033,0.052,0.001,0.05
91,0,91,185,3,91,0.027,0.,0.027,0.02,0.,0.02,,,,0.029,0.,0.029,0.089,0.,0.089,0.028,0.,0.028
91,2,13,197,15,91,0.009,0.,0.009,0.009,0.,0.009,,,,0.019,0.,0.019,0.042,0.,0.042,0.013,0.,0.013
92,0,92,187,3,92,,,,,,,,,,0.028,0.,0.028,,,,,,
93,0,93,189,3,93,,,,,,,,,,0.031,0.,0.031,,,,,,
93,1,31,193,7,93,0.014,0.,0.014,0.014,0.,0.014,,,,0.026,0.,0.026,0.05,0.,0.05,0.02,0.,0.02
93,4,3,249,63,93,0.005,0.,0.005,0.004,0.,0.004,0.076,0.,0.076,0.015,0.,0.015,0.03,0.,0.03,0.007,0.,0.007
94,0,94,191,3,94,0.02,0.,0.02,,,,,,,0.029,0.,0.029,0.079,0.,0.079,0.09,0.,0.09
95,0,95,193,3,95,,,,,,,0.098,0.,0.098,0.032,0.,0.032,,,,,,
96,0,96,195,3,96,,,,,,,,,,0.031,0.,0.031,,,,,,
96,1,32,199,7,96,,,,,,,0.11,0.,0.11,0.026,0.,0.026,0.053,0.,0.053,,,
97,0,97,197,3,97,0.023,0.,0.023,0.024,0.,0.024,,,,0.033,0.,0.033,0.064,0.,0.064,0.029,0.,0.029
98,0,98,199,3,98,,,,,,,,,,0.033,0.,0.033,,,,,,
